date,county,state,fips,cases,deaths,new_cases
2020-03-24,Calaveras,California,6009.0,2,0,2.0
2020-03-25,Calaveras,California,6009.0,2,0,0.0
2020-03-26,Calaveras,California,6009.0,3,0,1.0
2020-03-27,Calaveras,California,6009.0,3,0,0.0
2020-03-28,Calaveras,California,6009.0,3,0,0.0
2020-03-29,Calaveras,California,6009.0,3,0,0.0
2020-03-30,Calaveras,California,6009.0,3,0,0.0
2020-03-31,Calaveras,California,6009.0,3,0,0.0
2020-04-01,Calaveras,California,6009.0,3,0,0.0
2020-04-02,Calaveras,California,6009.0,3,0,0.0
2020-04-03,Calaveras,California,6009.0,4,0,1.0
2020-04-04,Calaveras,California,6009.0,4,0,0.0
2020-04-05,Calaveras,California,6009.0,4,0,0.0
2020-04-06,Calaveras,California,6009.0,5,0,1.0
2020-04-07,Calaveras,California,6009.0,5,0,0.0
2020-04-08,Calaveras,California,6009.0,5,0,0.0
2020-04-09,Calaveras,California,6009.0,8,0,3.0
2020-04-10,Calaveras,California,6009.0,8,0,0.0
2020-04-11,Calaveras,California,6009.0,8,0,0.0
2020-04-12,Calaveras,California,6009.0,8,0,0.0
2020-04-13,Calaveras,California,6009.0,9,0,1.0
2020-04-14,Calaveras,California,6009.0,9,0,0.0
2020-04-15,Calaveras,California,6009.0,9,0,0.0
2020-04-16,Calaveras,California,6009.0,11,0,2.0
2020-04-17,Calaveras,California,6009.0,12,0,1.0
2020-04-18,Calaveras,California,6009.0,12,0,0.0
2020-04-19,Calaveras,California,6009.0,12,0,0.0
2020-04-20,Calaveras,California,6009.0,12,0,0.0
2020-04-21,Calaveras,California,6009.0,12,0,0.0
2020-04-22,Calaveras,California,6009.0,12,0,0.0
2020-04-23,Calaveras,California,6009.0,13,0,1.0
2020-04-24,Calaveras,California,6009.0,13,0,0.0
2020-04-25,Calaveras,California,6009.0,13,0,0.0
2020-04-26,Calaveras,California,6009.0,13,0,0.0
2020-04-27,Calaveras,California,6009.0,13,0,0.0
2020-04-28,Calaveras,California,6009.0,13,0,0.0
2020-04-29,Calaveras,California,6009.0,13,0,0.0
2020-04-30,Calaveras,California,6009.0,13,0,0.0
2020-05-01,Calaveras,California,6009.0,13,0,0.0
2020-05-02,Calaveras,California,6009.0,13,0,0.0
2020-05-03,Calaveras,California,6009.0,13,0,0.0
2020-05-04,Calaveras,California,6009.0,13,0,0.0
2020-05-05,Calaveras,California,6009.0,13,0,0.0
2020-05-06,Calaveras,California,6009.0,13,0,0.0
2020-05-07,Calaveras,California,6009.0,13,0,0.0
2020-05-08,Calaveras,California,6009.0,13,0,0.0
2020-05-09,Calaveras,California,6009.0,13,0,0.0
2020-05-10,Calaveras,California,6009.0,13,0,0.0
2020-05-11,Calaveras,California,6009.0,13,0,0.0
2020-05-12,Calaveras,California,6009.0,13,0,0.0
2020-05-13,Calaveras,California,6009.0,13,0,0.0
2020-05-14,Calaveras,California,6009.0,13,0,0.0
2020-05-15,Calaveras,California,6009.0,13,0,0.0
2020-05-16,Calaveras,California,6009.0,13,0,0.0
2020-05-17,Calaveras,California,6009.0,13,0,0.0
2020-05-18,Calaveras,California,6009.0,13,0,0.0
2020-05-19,Calaveras,California,6009.0,13,0,0.0
2020-05-20,Calaveras,California,6009.0,13,0,0.0
2020-05-21,Calaveras,California,6009.0,13,0,0.0
2020-05-22,Calaveras,California,6009.0,13,0,0.0
2020-05-23,Calaveras,California,6009.0,13,0,0.0
2020-05-24,Calaveras,California,6009.0,13,0,0.0
2020-05-25,Calaveras,California,6009.0,13,0,0.0
2020-05-26,Calaveras,California,6009.0,15,0,2.0
2020-05-27,Calaveras,California,6009.0,15,0,0.0
