date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-20,Imperial,California,6025.0,4,0,4.0,0.0
2020-03-21,Imperial,California,6025.0,4,0,0.0,0.0
2020-03-22,Imperial,California,6025.0,4,0,0.0,0.0
2020-03-23,Imperial,California,6025.0,4,0,0.0,0.0
2020-03-24,Imperial,California,6025.0,9,0,5.0,0.0
2020-03-25,Imperial,California,6025.0,9,0,0.0,0.0
2020-03-26,Imperial,California,6025.0,17,0,8.0,0.0
2020-03-27,Imperial,California,6025.0,21,0,4.0,0.0
2020-03-28,Imperial,California,6025.0,25,0,4.0,0.0
2020-03-29,Imperial,California,6025.0,25,0,0.0,0.0
2020-03-30,Imperial,California,6025.0,33,0,8.0,0.0
2020-03-31,Imperial,California,6025.0,38,0,5.0,0.0
2020-04-01,Imperial,California,6025.0,43,0,5.0,0.0
2020-04-02,Imperial,California,6025.0,50,0,7.0,0.0
2020-04-03,Imperial,California,6025.0,55,0,5.0,0.0
2020-04-04,Imperial,California,6025.0,55,0,0.0,0.0
2020-04-05,Imperial,California,6025.0,57,1,2.0,1.0
2020-04-06,Imperial,California,6025.0,68,3,11.0,2.0
2020-04-07,Imperial,California,6025.0,73,2,5.0,-1.0
2020-04-08,Imperial,California,6025.0,75,3,2.0,1.0
2020-04-09,Imperial,California,6025.0,79,2,4.0,-1.0
2020-04-10,Imperial,California,6025.0,79,2,0.0,0.0
2020-04-11,Imperial,California,6025.0,87,2,8.0,0.0
2020-04-12,Imperial,California,6025.0,87,2,0.0,0.0
2020-04-13,Imperial,California,6025.0,87,2,0.0,0.0
2020-04-14,Imperial,California,6025.0,117,2,30.0,0.0
2020-04-15,Imperial,California,6025.0,127,2,10.0,0.0
2020-04-16,Imperial,California,6025.0,143,2,16.0,0.0
2020-04-17,Imperial,California,6025.0,155,2,12.0,0.0
2020-04-18,Imperial,California,6025.0,155,2,0.0,0.0
2020-04-19,Imperial,California,6025.0,160,2,5.0,0.0
2020-04-20,Imperial,California,6025.0,160,2,0.0,0.0
2020-04-21,Imperial,California,6025.0,195,4,35.0,2.0
2020-04-22,Imperial,California,6025.0,214,4,19.0,0.0
