date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-17,Kern,California,6029.0,1,0,1.0,0.0
2020-03-18,Kern,California,6029.0,1,0,0.0,0.0
2020-03-19,Kern,California,6029.0,2,0,1.0,0.0
2020-03-20,Kern,California,6029.0,2,0,0.0,0.0
2020-03-21,Kern,California,6029.0,4,0,2.0,0.0
2020-03-22,Kern,California,6029.0,5,0,1.0,0.0
2020-03-23,Kern,California,6029.0,5,0,0.0,0.0
2020-03-24,Kern,California,6029.0,14,0,9.0,0.0
2020-03-25,Kern,California,6029.0,24,0,10.0,0.0
2020-03-26,Kern,California,6029.0,33,0,9.0,0.0
2020-03-27,Kern,California,6029.0,41,1,8.0,1.0
2020-03-28,Kern,California,6029.0,47,1,6.0,0.0
2020-03-29,Kern,California,6029.0,51,1,4.0,0.0
2020-03-30,Kern,California,6029.0,76,1,25.0,0.0
2020-03-31,Kern,California,6029.0,101,1,25.0,0.0
2020-04-01,Kern,California,6029.0,110,1,9.0,0.0
2020-04-02,Kern,California,6029.0,155,1,45.0,0.0
2020-04-03,Kern,California,6029.0,199,2,44.0,1.0
2020-04-04,Kern,California,6029.0,205,2,6.0,0.0
2020-04-05,Kern,California,6029.0,225,2,20.0,0.0
2020-04-06,Kern,California,6029.0,246,2,21.0,0.0
2020-04-07,Kern,California,6029.0,267,2,21.0,0.0
2020-04-08,Kern,California,6029.0,309,2,42.0,0.0
2020-04-09,Kern,California,6029.0,330,3,21.0,1.0
2020-04-10,Kern,California,6029.0,363,3,33.0,0.0
2020-04-11,Kern,California,6029.0,369,3,6.0,0.0
2020-04-12,Kern,California,6029.0,396,3,27.0,0.0
2020-04-13,Kern,California,6029.0,454,3,58.0,0.0
2020-04-14,Kern,California,6029.0,524,3,70.0,0.0
2020-04-15,Kern,California,6029.0,553,3,29.0,0.0
2020-04-16,Kern,California,6029.0,553,3,0.0,0.0
2020-04-17,Kern,California,6029.0,553,3,0.0,0.0
2020-04-18,Kern,California,6029.0,619,3,66.0,0.0
2020-04-19,Kern,California,6029.0,623,3,4.0,0.0
2020-04-20,Kern,California,6029.0,643,3,20.0,0.0
2020-04-21,Kern,California,6029.0,671,3,28.0,0.0
2020-04-22,Kern,California,6029.0,671,3,0.0,0.0
2020-04-23,Kern,California,6029.0,713,4,42.0,1.0
2020-04-24,Kern,California,6029.0,744,4,31.0,0.0
2020-04-25,Kern,California,6029.0,764,4,20.0,0.0
2020-04-26,Kern,California,6029.0,809,4,45.0,0.0
2020-04-27,Kern,California,6029.0,837,5,28.0,1.0
2020-04-28,Kern,California,6029.0,865,5,28.0,0.0
2020-04-29,Kern,California,6029.0,882,6,17.0,1.0
2020-04-30,Kern,California,6029.0,910,7,28.0,1.0
2020-05-01,Kern,California,6029.0,941,8,31.0,1.0
2020-05-02,Kern,California,6029.0,972,8,31.0,0.0
2020-05-03,Kern,California,6029.0,1007,8,35.0,0.0
