date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-04-28,Mariposa,California,6043.0,1,0,1.0,0.0
2020-04-29,Mariposa,California,6043.0,1,0,0.0,0.0
2020-04-30,Mariposa,California,6043.0,3,0,2.0,0.0
2020-05-01,Mariposa,California,6043.0,13,0,10.0,0.0
2020-05-02,Mariposa,California,6043.0,13,0,0.0,0.0
2020-05-03,Mariposa,California,6043.0,13,0,0.0,0.0
2020-05-04,Mariposa,California,6043.0,14,0,1.0,0.0
2020-05-05,Mariposa,California,6043.0,14,0,0.0,0.0
2020-05-06,Mariposa,California,6043.0,15,0,1.0,0.0
2020-05-07,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-08,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-09,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-10,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-11,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-12,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-13,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-14,Mariposa,California,6043.0,15,0,0.0,0.0
2020-05-15,Mariposa,California,6043.0,15,1,0.0,1.0
2020-05-16,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-17,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-18,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-19,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-20,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-21,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-22,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-23,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-24,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-25,Mariposa,California,6043.0,15,1,0.0,0.0
2020-05-26,Mariposa,California,6043.0,16,1,1.0,0.0
2020-05-27,Mariposa,California,6043.0,16,1,0.0,0.0
2020-05-28,Mariposa,California,6043.0,16,1,0.0,0.0
2020-05-29,Mariposa,California,6043.0,16,1,0.0,0.0
2020-05-30,Mariposa,California,6043.0,16,1,0.0,0.0
2020-05-31,Mariposa,California,6043.0,16,1,0.0,0.0
2020-06-01,Mariposa,California,6043.0,16,1,0.0,0.0
2020-06-02,Mariposa,California,6043.0,16,1,0.0,0.0
2020-06-03,Mariposa,California,6043.0,16,1,0.0,0.0
