date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-07-29,Modoc,California,6049.0,2,0,2.0,0.0
2020-07-30,Modoc,California,6049.0,2,0,0.0,0.0
2020-07-31,Modoc,California,6049.0,2,0,0.0,0.0
2020-08-01,Modoc,California,6049.0,2,0,0.0,0.0
2020-08-02,Modoc,California,6049.0,2,0,0.0,0.0
2020-08-03,Modoc,California,6049.0,3,0,1.0,0.0
2020-08-04,Modoc,California,6049.0,4,0,1.0,0.0
2020-08-05,Modoc,California,6049.0,4,0,0.0,0.0
2020-08-06,Modoc,California,6049.0,4,0,0.0,0.0
2020-08-07,Modoc,California,6049.0,5,0,1.0,0.0
2020-08-08,Modoc,California,6049.0,5,0,0.0,0.0
2020-08-09,Modoc,California,6049.0,5,0,0.0,0.0
2020-08-10,Modoc,California,6049.0,5,0,0.0,0.0
2020-08-11,Modoc,California,6049.0,5,0,0.0,0.0
2020-08-12,Modoc,California,6049.0,5,0,0.0,0.0
2020-08-13,Modoc,California,6049.0,5,0,0.0,0.0
2020-08-14,Modoc,California,6049.0,5,0,0.0,0.0
