date,county,state,fips,cases,deaths,new_cases
2020-03-17,Monterey,California,6053.0,2,0,2.0
2020-03-18,Monterey,California,6053.0,2,0,0.0
2020-03-19,Monterey,California,6053.0,2,0,0.0
2020-03-20,Monterey,California,6053.0,5,0,3.0
2020-03-21,Monterey,California,6053.0,11,1,6.0
2020-03-22,Monterey,California,6053.0,14,1,3.0
2020-03-23,Monterey,California,6053.0,20,1,6.0
2020-03-24,Monterey,California,6053.0,20,1,0.0
2020-03-25,Monterey,California,6053.0,24,1,4.0
2020-03-26,Monterey,California,6053.0,24,1,0.0
2020-03-27,Monterey,California,6053.0,27,1,3.0
2020-03-28,Monterey,California,6053.0,27,1,0.0
2020-03-29,Monterey,California,6053.0,32,1,5.0
2020-03-30,Monterey,California,6053.0,36,1,4.0
2020-03-31,Monterey,California,6053.0,42,2,6.0
2020-04-01,Monterey,California,6053.0,42,2,0.0
2020-04-02,Monterey,California,6053.0,48,2,6.0
2020-04-03,Monterey,California,6053.0,53,2,5.0
2020-04-04,Monterey,California,6053.0,62,2,9.0
2020-04-05,Monterey,California,6053.0,62,2,0.0
2020-04-06,Monterey,California,6053.0,63,2,1.0
2020-04-07,Monterey,California,6053.0,64,2,1.0
2020-04-08,Monterey,California,6053.0,69,2,5.0
2020-04-09,Monterey,California,6053.0,71,3,2.0
2020-04-10,Monterey,California,6053.0,79,3,8.0
2020-04-11,Monterey,California,6053.0,82,3,3.0
2020-04-12,Monterey,California,6053.0,87,3,5.0
2020-04-13,Monterey,California,6053.0,87,3,0.0
2020-04-14,Monterey,California,6053.0,100,3,13.0
2020-04-15,Monterey,California,6053.0,108,3,8.0
2020-04-16,Monterey,California,6053.0,119,3,11.0
2020-04-17,Monterey,California,6053.0,119,3,0.0
2020-04-18,Monterey,California,6053.0,136,3,17.0
2020-04-19,Monterey,California,6053.0,141,4,5.0
2020-04-20,Monterey,California,6053.0,148,4,7.0
2020-04-21,Monterey,California,6053.0,150,4,2.0
2020-04-22,Monterey,California,6053.0,154,4,4.0
2020-04-23,Monterey,California,6053.0,164,4,10.0
2020-04-24,Monterey,California,6053.0,169,4,5.0
2020-04-25,Monterey,California,6053.0,176,4,7.0
2020-04-26,Monterey,California,6053.0,183,4,7.0
2020-04-27,Monterey,California,6053.0,185,4,2.0
2020-04-28,Monterey,California,6053.0,191,5,6.0
2020-04-29,Monterey,California,6053.0,206,5,15.0
2020-04-30,Monterey,California,6053.0,213,5,7.0
2020-05-01,Monterey,California,6053.0,222,5,9.0
2020-05-02,Monterey,California,6053.0,222,6,0.0
2020-05-03,Monterey,California,6053.0,225,6,3.0
2020-05-04,Monterey,California,6053.0,235,6,10.0
2020-05-05,Monterey,California,6053.0,237,6,2.0
2020-05-06,Monterey,California,6053.0,240,6,3.0
2020-05-07,Monterey,California,6053.0,246,6,6.0
2020-05-08,Monterey,California,6053.0,249,6,3.0
2020-05-09,Monterey,California,6053.0,265,6,16.0
2020-05-10,Monterey,California,6053.0,273,6,8.0
2020-05-11,Monterey,California,6053.0,282,6,9.0
2020-05-12,Monterey,California,6053.0,286,6,4.0
2020-05-13,Monterey,California,6053.0,298,6,12.0
2020-05-14,Monterey,California,6053.0,309,6,11.0
2020-05-15,Monterey,California,6053.0,317,8,8.0
2020-05-16,Monterey,California,6053.0,321,8,4.0
2020-05-17,Monterey,California,6053.0,329,8,8.0
2020-05-18,Monterey,California,6053.0,342,8,13.0
2020-05-19,Monterey,California,6053.0,345,8,3.0
2020-05-20,Monterey,California,6053.0,350,8,5.0
2020-05-21,Monterey,California,6053.0,356,8,6.0
2020-05-22,Monterey,California,6053.0,371,8,15.0
2020-05-23,Monterey,California,6053.0,395,8,24.0
2020-05-24,Monterey,California,6053.0,403,8,8.0
2020-05-25,Monterey,California,6053.0,413,8,10.0
2020-05-26,Monterey,California,6053.0,429,8,16.0
2020-05-27,Monterey,California,6053.0,441,8,12.0
2020-05-28,Monterey,California,6053.0,469,8,28.0
2020-05-29,Monterey,California,6053.0,477,10,8.0
2020-05-30,Monterey,California,6053.0,509,10,32.0
2020-05-31,Monterey,California,6053.0,530,10,21.0
2020-06-01,Monterey,California,6053.0,545,10,15.0
2020-06-02,Monterey,California,6053.0,571,10,26.0
2020-06-03,Monterey,California,6053.0,586,10,15.0
2020-06-04,Monterey,California,6053.0,621,10,35.0
2020-06-05,Monterey,California,6053.0,640,10,19.0
2020-06-06,Monterey,California,6053.0,667,10,27.0
2020-06-07,Monterey,California,6053.0,732,10,65.0
2020-06-08,Monterey,California,6053.0,751,10,19.0
2020-06-09,Monterey,California,6053.0,763,11,12.0
2020-06-10,Monterey,California,6053.0,791,11,28.0
2020-06-11,Monterey,California,6053.0,814,11,23.0
2020-06-12,Monterey,California,6053.0,865,11,51.0
