date,county,state,fips,cases,deaths,new_cases
2020-03-02,San Mateo,California,6081.0,1,0,1.0
2020-03-03,San Mateo,California,6081.0,1,0,0.0
2020-03-04,San Mateo,California,6081.0,1,0,0.0
2020-03-05,San Mateo,California,6081.0,1,0,0.0
2020-03-06,San Mateo,California,6081.0,1,0,0.0
2020-03-07,San Mateo,California,6081.0,1,0,0.0
2020-03-08,San Mateo,California,6081.0,1,0,0.0
2020-03-09,San Mateo,California,6081.0,9,0,8.0
2020-03-10,San Mateo,California,6081.0,9,0,0.0
2020-03-11,San Mateo,California,6081.0,15,0,6.0
2020-03-12,San Mateo,California,6081.0,20,0,5.0
2020-03-13,San Mateo,California,6081.0,20,0,0.0
2020-03-14,San Mateo,California,6081.0,32,0,12.0
2020-03-15,San Mateo,California,6081.0,32,1,0.0
2020-03-16,San Mateo,California,6081.0,42,1,10.0
2020-03-17,San Mateo,California,6081.0,64,1,22.0
2020-03-18,San Mateo,California,6081.0,80,1,16.0
2020-03-19,San Mateo,California,6081.0,89,1,9.0
2020-03-20,San Mateo,California,6081.0,100,1,11.0
2020-03-21,San Mateo,California,6081.0,110,1,10.0
2020-03-22,San Mateo,California,6081.0,117,1,7.0
2020-03-23,San Mateo,California,6081.0,142,1,25.0
2020-03-24,San Mateo,California,6081.0,161,1,19.0
2020-03-25,San Mateo,California,6081.0,165,5,4.0
2020-03-26,San Mateo,California,6081.0,195,5,30.0
2020-03-27,San Mateo,California,6081.0,239,6,44.0
2020-03-28,San Mateo,California,6081.0,274,6,35.0
2020-03-29,San Mateo,California,6081.0,277,6,3.0
2020-03-30,San Mateo,California,6081.0,309,6,32.0
2020-03-31,San Mateo,California,6081.0,309,10,0.0
2020-04-01,San Mateo,California,6081.0,388,10,79.0
2020-04-02,San Mateo,California,6081.0,453,10,65.0
2020-04-03,San Mateo,California,6081.0,486,13,33.0
2020-04-04,San Mateo,California,6081.0,538,13,52.0
2020-04-05,San Mateo,California,6081.0,555,13,17.0
2020-04-06,San Mateo,California,6081.0,579,13,24.0
2020-04-07,San Mateo,California,6081.0,589,21,10.0
2020-04-08,San Mateo,California,6081.0,617,21,28.0
2020-04-09,San Mateo,California,6081.0,633,21,16.0
