date,county,state,fips,cases,deaths,new_cases
2020-03-15,Santa Barbara,California,6083.0,1,0,1.0
2020-03-16,Santa Barbara,California,6083.0,1,0,0.0
2020-03-17,Santa Barbara,California,6083.0,2,0,1.0
2020-03-18,Santa Barbara,California,6083.0,2,0,0.0
2020-03-19,Santa Barbara,California,6083.0,8,0,6.0
2020-03-20,Santa Barbara,California,6083.0,9,0,1.0
2020-03-21,Santa Barbara,California,6083.0,17,0,8.0
2020-03-22,Santa Barbara,California,6083.0,18,0,1.0
2020-03-23,Santa Barbara,California,6083.0,18,0,0.0
2020-03-24,Santa Barbara,California,6083.0,24,0,6.0
2020-03-25,Santa Barbara,California,6083.0,26,0,2.0
2020-03-26,Santa Barbara,California,6083.0,32,0,6.0
2020-03-27,Santa Barbara,California,6083.0,47,0,15.0
2020-03-28,Santa Barbara,California,6083.0,64,0,17.0
2020-03-29,Santa Barbara,California,6083.0,68,0,4.0
2020-03-30,Santa Barbara,California,6083.0,88,0,20.0
2020-03-31,Santa Barbara,California,6083.0,99,0,11.0
2020-04-01,Santa Barbara,California,6083.0,111,0,12.0
2020-04-02,Santa Barbara,California,6083.0,139,1,28.0
2020-04-03,Santa Barbara,California,6083.0,152,1,13.0
2020-04-04,Santa Barbara,California,6083.0,168,1,16.0
2020-04-05,Santa Barbara,California,6083.0,174,2,6.0
2020-04-06,Santa Barbara,California,6083.0,192,2,18.0
2020-04-07,Santa Barbara,California,6083.0,218,2,26.0
2020-04-08,Santa Barbara,California,6083.0,228,2,10.0
2020-04-09,Santa Barbara,California,6083.0,243,2,15.0
2020-04-10,Santa Barbara,California,6083.0,260,2,17.0
2020-04-11,Santa Barbara,California,6083.0,264,2,4.0
2020-04-12,Santa Barbara,California,6083.0,267,2,3.0
2020-04-13,Santa Barbara,California,6083.0,284,2,17.0
2020-04-14,Santa Barbara,California,6083.0,313,2,29.0
2020-04-15,Santa Barbara,California,6083.0,334,2,21.0
2020-04-16,Santa Barbara,California,6083.0,354,3,20.0
2020-04-17,Santa Barbara,California,6083.0,373,3,19.0
2020-04-18,Santa Barbara,California,6083.0,385,4,12.0
2020-04-19,Santa Barbara,California,6083.0,394,4,9.0
2020-04-20,Santa Barbara,California,6083.0,416,4,22.0
2020-04-21,Santa Barbara,California,6083.0,429,5,13.0
2020-04-22,Santa Barbara,California,6083.0,440,5,11.0
2020-04-23,Santa Barbara,California,6083.0,451,5,11.0
2020-04-24,Santa Barbara,California,6083.0,460,6,9.0
2020-04-25,Santa Barbara,California,6083.0,466,6,6.0
2020-04-26,Santa Barbara,California,6083.0,471,7,5.0
2020-04-27,Santa Barbara,California,6083.0,471,7,0.0
2020-04-28,Santa Barbara,California,6083.0,477,7,6.0
2020-04-29,Santa Barbara,California,6083.0,485,8,8.0
