date,county,state,fips,cases,deaths,new_cases
2020-01-31,Santa Clara,California,6085.0,1,0,1.0
2020-02-01,Santa Clara,California,6085.0,1,0,0.0
2020-02-02,Santa Clara,California,6085.0,2,0,1.0
2020-02-03,Santa Clara,California,6085.0,2,0,0.0
2020-02-04,Santa Clara,California,6085.0,2,0,0.0
2020-02-05,Santa Clara,California,6085.0,2,0,0.0
2020-02-06,Santa Clara,California,6085.0,2,0,0.0
2020-02-07,Santa Clara,California,6085.0,2,0,0.0
2020-02-08,Santa Clara,California,6085.0,2,0,0.0
2020-02-09,Santa Clara,California,6085.0,2,0,0.0
2020-02-10,Santa Clara,California,6085.0,2,0,0.0
2020-02-11,Santa Clara,California,6085.0,2,0,0.0
2020-02-12,Santa Clara,California,6085.0,2,0,0.0
2020-02-13,Santa Clara,California,6085.0,2,0,0.0
2020-02-14,Santa Clara,California,6085.0,2,0,0.0
2020-02-15,Santa Clara,California,6085.0,2,0,0.0
2020-02-16,Santa Clara,California,6085.0,2,0,0.0
2020-02-17,Santa Clara,California,6085.0,2,0,0.0
2020-02-18,Santa Clara,California,6085.0,2,0,0.0
2020-02-19,Santa Clara,California,6085.0,2,0,0.0
2020-02-20,Santa Clara,California,6085.0,2,0,0.0
2020-02-21,Santa Clara,California,6085.0,2,0,0.0
2020-02-22,Santa Clara,California,6085.0,2,0,0.0
2020-02-23,Santa Clara,California,6085.0,2,0,0.0
2020-02-24,Santa Clara,California,6085.0,2,0,0.0
2020-02-25,Santa Clara,California,6085.0,2,0,0.0
2020-02-26,Santa Clara,California,6085.0,2,0,0.0
2020-02-27,Santa Clara,California,6085.0,2,0,0.0
2020-02-28,Santa Clara,California,6085.0,3,0,1.0
2020-02-29,Santa Clara,California,6085.0,4,0,1.0
2020-03-01,Santa Clara,California,6085.0,7,0,3.0
2020-03-02,Santa Clara,California,6085.0,9,0,2.0
2020-03-03,Santa Clara,California,6085.0,11,0,2.0
2020-03-04,Santa Clara,California,6085.0,14,0,3.0
2020-03-05,Santa Clara,California,6085.0,20,0,6.0
2020-03-06,Santa Clara,California,6085.0,24,0,4.0
2020-03-07,Santa Clara,California,6085.0,32,0,8.0
2020-03-08,Santa Clara,California,6085.0,37,0,5.0
2020-03-09,Santa Clara,California,6085.0,43,1,6.0
2020-03-10,Santa Clara,California,6085.0,45,1,2.0
2020-03-11,Santa Clara,California,6085.0,48,1,3.0
2020-03-12,Santa Clara,California,6085.0,66,1,18.0
2020-03-13,Santa Clara,California,6085.0,79,2,13.0
2020-03-14,Santa Clara,California,6085.0,91,2,12.0
2020-03-15,Santa Clara,California,6085.0,114,2,23.0
2020-03-16,Santa Clara,California,6085.0,138,4,24.0
2020-03-17,Santa Clara,California,6085.0,155,5,17.0
2020-03-18,Santa Clara,California,6085.0,175,6,20.0
2020-03-19,Santa Clara,California,6085.0,189,6,14.0
2020-03-20,Santa Clara,California,6085.0,196,8,7.0
2020-03-21,Santa Clara,California,6085.0,263,8,67.0
