date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-09,Shasta,California,6089.0,1,0,1.0,0.0
2020-03-10,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-11,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-12,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-13,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-14,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-15,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-16,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-17,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-18,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-19,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-20,Shasta,California,6089.0,1,0,0.0,0.0
2020-03-21,Shasta,California,6089.0,2,0,1.0,0.0
2020-03-22,Shasta,California,6089.0,2,0,0.0,0.0
2020-03-23,Shasta,California,6089.0,3,0,1.0,0.0
2020-03-24,Shasta,California,6089.0,3,0,0.0,0.0
2020-03-25,Shasta,California,6089.0,3,1,0.0,1.0
2020-03-26,Shasta,California,6089.0,3,1,0.0,0.0
2020-03-27,Shasta,California,6089.0,3,1,0.0,0.0
2020-03-28,Shasta,California,6089.0,3,1,0.0,0.0
2020-03-29,Shasta,California,6089.0,4,1,1.0,0.0
2020-03-30,Shasta,California,6089.0,6,1,2.0,0.0
2020-03-31,Shasta,California,6089.0,6,1,0.0,0.0
2020-04-01,Shasta,California,6089.0,7,1,1.0,0.0
2020-04-02,Shasta,California,6089.0,7,1,0.0,0.0
2020-04-03,Shasta,California,6089.0,11,2,4.0,1.0
2020-04-04,Shasta,California,6089.0,17,2,6.0,0.0
2020-04-05,Shasta,California,6089.0,20,3,3.0,1.0
2020-04-06,Shasta,California,6089.0,21,3,1.0,0.0
2020-04-07,Shasta,California,6089.0,23,3,2.0,0.0
2020-04-08,Shasta,California,6089.0,24,3,1.0,0.0
2020-04-09,Shasta,California,6089.0,24,3,0.0,0.0
2020-04-10,Shasta,California,6089.0,24,3,0.0,0.0
2020-04-11,Shasta,California,6089.0,24,3,0.0,0.0
2020-04-12,Shasta,California,6089.0,24,3,0.0,0.0
2020-04-13,Shasta,California,6089.0,25,3,1.0,0.0
2020-04-14,Shasta,California,6089.0,25,3,0.0,0.0
2020-04-15,Shasta,California,6089.0,25,3,0.0,0.0
2020-04-16,Shasta,California,6089.0,26,3,1.0,0.0
2020-04-17,Shasta,California,6089.0,26,3,0.0,0.0
2020-04-18,Shasta,California,6089.0,26,3,0.0,0.0
2020-04-19,Shasta,California,6089.0,26,3,0.0,0.0
2020-04-20,Shasta,California,6089.0,26,3,0.0,0.0
2020-04-21,Shasta,California,6089.0,26,3,0.0,0.0
2020-04-22,Shasta,California,6089.0,27,3,1.0,0.0
2020-04-23,Shasta,California,6089.0,27,3,0.0,0.0
2020-04-24,Shasta,California,6089.0,30,4,3.0,1.0
2020-04-25,Shasta,California,6089.0,30,4,0.0,0.0
2020-04-26,Shasta,California,6089.0,30,4,0.0,0.0
2020-04-27,Shasta,California,6089.0,30,4,0.0,0.0
2020-04-28,Shasta,California,6089.0,31,4,1.0,0.0
2020-04-29,Shasta,California,6089.0,31,4,0.0,0.0
2020-04-30,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-01,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-02,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-03,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-04,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-05,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-06,Shasta,California,6089.0,31,4,0.0,0.0
2020-05-07,Shasta,California,6089.0,31,4,0.0,0.0
