date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-02-24,Solano,California,6095.0,1,0,1.0,0.0
2020-02-25,Solano,California,6095.0,1,0,0.0,0.0
2020-02-26,Solano,California,6095.0,11,0,10.0,0.0
2020-02-27,Solano,California,6095.0,11,0,0.0,0.0
2020-02-28,Solano,California,6095.0,11,0,0.0,0.0
2020-02-29,Solano,California,6095.0,11,0,0.0,0.0
2020-03-01,Solano,California,6095.0,12,0,1.0,0.0
2020-03-02,Solano,California,6095.0,12,0,0.0,0.0
2020-03-03,Solano,California,6095.0,12,0,0.0,0.0
2020-03-04,Solano,California,6095.0,12,0,0.0,0.0
2020-03-05,Solano,California,6095.0,12,0,0.0,0.0
2020-03-06,Solano,California,6095.0,12,0,0.0,0.0
2020-03-07,Solano,California,6095.0,12,0,0.0,0.0
2020-03-08,Solano,California,6095.0,12,0,0.0,0.0
2020-03-09,Solano,California,6095.0,12,0,0.0,0.0
2020-03-10,Solano,California,6095.0,12,0,0.0,0.0
2020-03-11,Solano,California,6095.0,12,0,0.0,0.0
2020-03-12,Solano,California,6095.0,12,0,0.0,0.0
2020-03-13,Solano,California,6095.0,12,0,0.0,0.0
2020-03-14,Solano,California,6095.0,12,0,0.0,0.0
2020-03-15,Solano,California,6095.0,13,0,1.0,0.0
2020-03-16,Solano,California,6095.0,15,0,2.0,0.0
2020-03-17,Solano,California,6095.0,15,0,0.0,0.0
2020-03-18,Solano,California,6095.0,15,0,0.0,0.0
2020-03-19,Solano,California,6095.0,15,0,0.0,0.0
2020-03-20,Solano,California,6095.0,18,0,3.0,0.0
2020-03-21,Solano,California,6095.0,19,0,1.0,0.0
2020-03-22,Solano,California,6095.0,19,0,0.0,0.0
2020-03-23,Solano,California,6095.0,21,0,2.0,0.0
2020-03-24,Solano,California,6095.0,29,0,8.0,0.0
2020-03-25,Solano,California,6095.0,36,0,7.0,0.0
2020-03-26,Solano,California,6095.0,39,0,3.0,0.0
2020-03-27,Solano,California,6095.0,39,0,0.0,0.0
2020-03-28,Solano,California,6095.0,39,0,0.0,0.0
2020-03-29,Solano,California,6095.0,39,0,0.0,0.0
2020-03-30,Solano,California,6095.0,48,0,9.0,0.0
2020-03-31,Solano,California,6095.0,54,0,6.0,0.0
2020-04-01,Solano,California,6095.0,54,0,0.0,0.0
2020-04-02,Solano,California,6095.0,66,1,12.0,1.0
2020-04-03,Solano,California,6095.0,78,1,12.0,0.0
2020-04-04,Solano,California,6095.0,78,1,0.0,0.0
2020-04-05,Solano,California,6095.0,78,1,0.0,0.0
2020-04-06,Solano,California,6095.0,93,1,15.0,0.0
2020-04-07,Solano,California,6095.0,104,2,11.0,1.0
2020-04-08,Solano,California,6095.0,117,2,13.0,0.0
2020-04-09,Solano,California,6095.0,120,2,3.0,0.0
2020-04-10,Solano,California,6095.0,126,2,6.0,0.0
2020-04-11,Solano,California,6095.0,126,2,0.0,0.0
2020-04-12,Solano,California,6095.0,126,2,0.0,0.0
2020-04-13,Solano,California,6095.0,140,2,14.0,0.0
2020-04-14,Solano,California,6095.0,145,2,5.0,0.0
2020-04-15,Solano,California,6095.0,146,2,1.0,0.0
2020-04-16,Solano,California,6095.0,161,2,15.0,0.0
2020-04-17,Solano,California,6095.0,174,2,13.0,0.0
2020-04-18,Solano,California,6095.0,174,2,0.0,0.0
2020-04-19,Solano,California,6095.0,174,2,0.0,0.0
2020-04-20,Solano,California,6095.0,185,2,11.0,0.0
2020-04-21,Solano,California,6095.0,186,3,1.0,1.0
2020-04-22,Solano,California,6095.0,186,3,0.0,0.0
2020-04-23,Solano,California,6095.0,195,4,9.0,1.0
2020-04-24,Solano,California,6095.0,199,4,4.0,0.0
2020-04-25,Solano,California,6095.0,204,4,5.0,0.0
2020-04-26,Solano,California,6095.0,204,4,0.0,0.0
2020-04-27,Solano,California,6095.0,231,4,27.0,0.0
2020-04-28,Solano,California,6095.0,254,4,23.0,0.0
2020-04-29,Solano,California,6095.0,254,5,0.0,1.0
2020-04-30,Solano,California,6095.0,268,5,14.0,0.0
2020-05-01,Solano,California,6095.0,271,5,3.0,0.0
2020-05-02,Solano,California,6095.0,271,5,0.0,0.0
2020-05-03,Solano,California,6095.0,271,5,0.0,0.0
2020-05-04,Solano,California,6095.0,325,6,54.0,1.0
2020-05-05,Solano,California,6095.0,330,6,5.0,0.0
2020-05-06,Solano,California,6095.0,342,7,12.0,1.0
2020-05-07,Solano,California,6095.0,347,7,5.0,0.0
2020-05-08,Solano,California,6095.0,356,7,9.0,0.0
2020-05-09,Solano,California,6095.0,356,7,0.0,0.0
2020-05-10,Solano,California,6095.0,356,7,0.0,0.0
2020-05-11,Solano,California,6095.0,384,10,28.0,3.0
2020-05-12,Solano,California,6095.0,393,11,9.0,1.0
2020-05-13,Solano,California,6095.0,402,12,9.0,1.0
2020-05-14,Solano,California,6095.0,413,14,11.0,2.0
2020-05-15,Solano,California,6095.0,415,16,2.0,2.0
2020-05-16,Solano,California,6095.0,415,16,0.0,0.0
2020-05-17,Solano,California,6095.0,415,16,0.0,0.0
2020-05-18,Solano,California,6095.0,429,16,14.0,0.0
2020-05-19,Solano,California,6095.0,435,16,6.0,0.0
2020-05-20,Solano,California,6095.0,440,18,5.0,2.0
2020-05-21,Solano,California,6095.0,454,19,14.0,1.0
2020-05-22,Solano,California,6095.0,460,20,6.0,1.0
2020-05-23,Solano,California,6095.0,460,20,0.0,0.0
2020-05-24,Solano,California,6095.0,460,20,0.0,0.0
2020-05-25,Solano,California,6095.0,460,20,0.0,0.0
2020-05-26,Solano,California,6095.0,504,20,44.0,0.0
2020-05-27,Solano,California,6095.0,507,21,3.0,1.0
2020-05-28,Solano,California,6095.0,514,22,7.0,1.0
2020-05-29,Solano,California,6095.0,522,22,8.0,0.0
2020-05-30,Solano,California,6095.0,522,22,0.0,0.0
2020-05-31,Solano,California,6095.0,522,22,0.0,0.0
2020-06-01,Solano,California,6095.0,551,22,29.0,0.0
2020-06-02,Solano,California,6095.0,552,22,1.0,0.0
2020-06-03,Solano,California,6095.0,564,22,12.0,0.0
2020-06-04,Solano,California,6095.0,570,22,6.0,0.0
2020-06-05,Solano,California,6095.0,571,23,1.0,1.0
2020-06-06,Solano,California,6095.0,571,23,0.0,0.0
2020-06-07,Solano,California,6095.0,571,23,0.0,0.0
2020-06-08,Solano,California,6095.0,595,23,24.0,0.0
2020-06-09,Solano,California,6095.0,615,23,20.0,0.0
2020-06-10,Solano,California,6095.0,622,23,7.0,0.0
2020-06-11,Solano,California,6095.0,648,23,26.0,0.0
2020-06-12,Solano,California,6095.0,662,23,14.0,0.0
2020-06-13,Solano,California,6095.0,662,23,0.0,0.0
2020-06-14,Solano,California,6095.0,662,23,0.0,0.0
2020-06-15,Solano,California,6095.0,690,23,28.0,0.0
2020-06-16,Solano,California,6095.0,692,23,2.0,0.0
2020-06-17,Solano,California,6095.0,797,23,105.0,0.0
2020-06-18,Solano,California,6095.0,816,23,19.0,0.0
2020-06-19,Solano,California,6095.0,865,23,49.0,0.0
