date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-25,Sutter,California,6101.0,2,0,2.0,0.0
2020-03-26,Sutter,California,6101.0,2,0,0.0,0.0
2020-03-27,Sutter,California,6101.0,2,0,0.0,0.0
2020-03-28,Sutter,California,6101.0,2,0,0.0,0.0
2020-03-29,Sutter,California,6101.0,6,0,4.0,0.0
2020-03-30,Sutter,California,6101.0,9,0,3.0,0.0
2020-03-31,Sutter,California,6101.0,10,0,1.0,0.0
2020-04-01,Sutter,California,6101.0,14,0,4.0,0.0
2020-04-02,Sutter,California,6101.0,14,1,0.0,1.0
2020-04-03,Sutter,California,6101.0,16,1,2.0,0.0
2020-04-04,Sutter,California,6101.0,16,1,0.0,0.0
2020-04-05,Sutter,California,6101.0,16,2,0.0,1.0
2020-04-06,Sutter,California,6101.0,18,2,2.0,0.0
2020-04-07,Sutter,California,6101.0,19,2,1.0,0.0
2020-04-08,Sutter,California,6101.0,20,2,1.0,0.0
2020-04-09,Sutter,California,6101.0,22,2,2.0,0.0
2020-04-10,Sutter,California,6101.0,22,2,0.0,0.0
2020-04-11,Sutter,California,6101.0,22,2,0.0,0.0
2020-04-12,Sutter,California,6101.0,22,2,0.0,0.0
2020-04-13,Sutter,California,6101.0,23,2,1.0,0.0
2020-04-14,Sutter,California,6101.0,24,2,1.0,0.0
2020-04-15,Sutter,California,6101.0,24,2,0.0,0.0
2020-04-16,Sutter,California,6101.0,24,2,0.0,0.0
2020-04-17,Sutter,California,6101.0,25,2,1.0,0.0
2020-04-18,Sutter,California,6101.0,25,2,0.0,0.0
2020-04-19,Sutter,California,6101.0,26,2,1.0,0.0
2020-04-20,Sutter,California,6101.0,26,2,0.0,0.0
2020-04-21,Sutter,California,6101.0,26,2,0.0,0.0
2020-04-22,Sutter,California,6101.0,26,2,0.0,0.0
2020-04-23,Sutter,California,6101.0,28,2,2.0,0.0
2020-04-24,Sutter,California,6101.0,28,2,0.0,0.0
2020-04-25,Sutter,California,6101.0,29,2,1.0,0.0
2020-04-26,Sutter,California,6101.0,29,2,0.0,0.0
2020-04-27,Sutter,California,6101.0,29,2,0.0,0.0
2020-04-28,Sutter,California,6101.0,29,2,0.0,0.0
2020-04-29,Sutter,California,6101.0,30,2,1.0,0.0
2020-04-30,Sutter,California,6101.0,30,2,0.0,0.0
2020-05-01,Sutter,California,6101.0,31,2,1.0,0.0
2020-05-02,Sutter,California,6101.0,31,2,0.0,0.0
2020-05-03,Sutter,California,6101.0,31,2,0.0,0.0
2020-05-04,Sutter,California,6101.0,31,2,0.0,0.0
2020-05-05,Sutter,California,6101.0,31,2,0.0,0.0
2020-05-06,Sutter,California,6101.0,31,2,0.0,0.0
2020-05-07,Sutter,California,6101.0,31,2,0.0,0.0
2020-05-08,Sutter,California,6101.0,32,2,1.0,0.0
2020-05-09,Sutter,California,6101.0,33,2,1.0,0.0
2020-05-10,Sutter,California,6101.0,33,2,0.0,0.0
2020-05-11,Sutter,California,6101.0,34,2,1.0,0.0
2020-05-12,Sutter,California,6101.0,35,2,1.0,0.0
2020-05-13,Sutter,California,6101.0,36,2,1.0,0.0
2020-05-14,Sutter,California,6101.0,37,2,1.0,0.0
2020-05-15,Sutter,California,6101.0,37,2,0.0,0.0
2020-05-16,Sutter,California,6101.0,38,2,1.0,0.0
2020-05-17,Sutter,California,6101.0,40,2,2.0,0.0
2020-05-18,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-19,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-20,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-21,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-22,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-23,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-24,Sutter,California,6101.0,40,2,0.0,0.0
2020-05-25,Sutter,California,6101.0,42,2,2.0,0.0
2020-05-26,Sutter,California,6101.0,42,2,0.0,0.0
2020-05-27,Sutter,California,6101.0,42,2,0.0,0.0
2020-05-28,Sutter,California,6101.0,42,2,0.0,0.0
2020-05-29,Sutter,California,6101.0,42,2,0.0,0.0
2020-05-30,Sutter,California,6101.0,43,2,1.0,0.0
2020-05-31,Sutter,California,6101.0,46,2,3.0,0.0
2020-06-01,Sutter,California,6101.0,46,2,0.0,0.0
2020-06-02,Sutter,California,6101.0,46,2,0.0,0.0
2020-06-03,Sutter,California,6101.0,48,2,2.0,0.0
2020-06-04,Sutter,California,6101.0,51,2,3.0,0.0
2020-06-05,Sutter,California,6101.0,52,2,1.0,0.0
2020-06-06,Sutter,California,6101.0,55,2,3.0,0.0
2020-06-07,Sutter,California,6101.0,58,2,3.0,0.0
2020-06-08,Sutter,California,6101.0,65,2,7.0,0.0
2020-06-09,Sutter,California,6101.0,66,2,1.0,0.0
2020-06-10,Sutter,California,6101.0,67,2,1.0,0.0
2020-06-11,Sutter,California,6101.0,69,2,2.0,0.0
2020-06-12,Sutter,California,6101.0,78,2,9.0,0.0
2020-06-13,Sutter,California,6101.0,83,2,5.0,0.0
2020-06-14,Sutter,California,6101.0,86,2,3.0,0.0
2020-06-15,Sutter,California,6101.0,88,3,2.0,1.0
2020-06-16,Sutter,California,6101.0,89,3,1.0,0.0
2020-06-17,Sutter,California,6101.0,92,3,3.0,0.0
2020-06-18,Sutter,California,6101.0,97,3,5.0,0.0
2020-06-19,Sutter,California,6101.0,97,3,0.0,0.0
2020-06-20,Sutter,California,6101.0,101,3,4.0,0.0
2020-06-21,Sutter,California,6101.0,112,3,11.0,0.0
2020-06-22,Sutter,California,6101.0,118,3,6.0,0.0
2020-06-23,Sutter,California,6101.0,125,3,7.0,0.0
2020-06-24,Sutter,California,6101.0,127,3,2.0,0.0
2020-06-25,Sutter,California,6101.0,140,3,13.0,0.0
2020-06-26,Sutter,California,6101.0,147,3,7.0,0.0
2020-06-27,Sutter,California,6101.0,152,3,5.0,0.0
2020-06-28,Sutter,California,6101.0,160,3,8.0,0.0
2020-06-29,Sutter,California,6101.0,176,3,16.0,0.0
2020-06-30,Sutter,California,6101.0,190,3,14.0,0.0
2020-07-01,Sutter,California,6101.0,197,3,7.0,0.0
2020-07-02,Sutter,California,6101.0,206,3,9.0,0.0
2020-07-03,Sutter,California,6101.0,228,3,22.0,0.0
2020-07-04,Sutter,California,6101.0,243,3,15.0,0.0
2020-07-05,Sutter,California,6101.0,252,3,9.0,0.0
2020-07-06,Sutter,California,6101.0,275,3,23.0,0.0
2020-07-07,Sutter,California,6101.0,302,4,27.0,1.0
2020-07-08,Sutter,California,6101.0,323,4,21.0,0.0
2020-07-09,Sutter,California,6101.0,337,4,14.0,0.0
2020-07-10,Sutter,California,6101.0,372,4,35.0,0.0
2020-07-11,Sutter,California,6101.0,388,4,16.0,0.0
2020-07-12,Sutter,California,6101.0,403,4,15.0,0.0
2020-07-13,Sutter,California,6101.0,421,4,18.0,0.0
2020-07-14,Sutter,California,6101.0,441,4,20.0,0.0
2020-07-15,Sutter,California,6101.0,454,4,13.0,0.0
2020-07-16,Sutter,California,6101.0,471,4,17.0,0.0
2020-07-17,Sutter,California,6101.0,491,4,20.0,0.0
2020-07-18,Sutter,California,6101.0,502,4,11.0,0.0
2020-07-19,Sutter,California,6101.0,520,4,18.0,0.0
2020-07-20,Sutter,California,6101.0,539,4,19.0,0.0
2020-07-21,Sutter,California,6101.0,553,4,14.0,0.0
2020-07-22,Sutter,California,6101.0,567,4,14.0,0.0
2020-07-23,Sutter,California,6101.0,601,4,34.0,0.0
2020-07-24,Sutter,California,6101.0,615,4,14.0,0.0
2020-07-25,Sutter,California,6101.0,637,4,22.0,0.0
2020-07-26,Sutter,California,6101.0,647,4,10.0,0.0
2020-07-27,Sutter,California,6101.0,670,6,23.0,2.0
2020-07-28,Sutter,California,6101.0,701,6,31.0,0.0
2020-07-29,Sutter,California,6101.0,731,6,30.0,0.0
2020-07-30,Sutter,California,6101.0,755,6,24.0,0.0
2020-07-31,Sutter,California,6101.0,768,6,13.0,0.0
2020-08-01,Sutter,California,6101.0,786,6,18.0,0.0
2020-08-02,Sutter,California,6101.0,797,6,11.0,0.0
2020-08-03,Sutter,California,6101.0,812,6,15.0,0.0
2020-08-04,Sutter,California,6101.0,840,6,28.0,0.0
2020-08-05,Sutter,California,6101.0,881,6,41.0,0.0
2020-08-06,Sutter,California,6101.0,893,6,12.0,0.0
2020-08-07,Sutter,California,6101.0,921,7,28.0,1.0
2020-08-08,Sutter,California,6101.0,942,7,21.0,0.0
