date,county,state,fips,cases,deaths,new_cases
2020-03-12,Tulare,California,6107.0,1,0,1.0
2020-03-13,Tulare,California,6107.0,2,0,1.0
2020-03-14,Tulare,California,6107.0,3,0,1.0
2020-03-15,Tulare,California,6107.0,3,0,0.0
2020-03-16,Tulare,California,6107.0,3,0,0.0
2020-03-17,Tulare,California,6107.0,3,0,0.0
2020-03-18,Tulare,California,6107.0,5,0,2.0
2020-03-19,Tulare,California,6107.0,7,0,2.0
2020-03-20,Tulare,California,6107.0,11,0,4.0
2020-03-21,Tulare,California,6107.0,11,0,0.0
2020-03-22,Tulare,California,6107.0,12,0,1.0
2020-03-23,Tulare,California,6107.0,16,0,4.0
2020-03-24,Tulare,California,6107.0,17,0,1.0
2020-03-25,Tulare,California,6107.0,18,0,1.0
2020-03-26,Tulare,California,6107.0,20,0,2.0
2020-03-27,Tulare,California,6107.0,24,0,4.0
2020-03-28,Tulare,California,6107.0,29,1,5.0
2020-03-29,Tulare,California,6107.0,35,1,6.0
2020-03-30,Tulare,California,6107.0,43,1,8.0
2020-03-31,Tulare,California,6107.0,45,1,2.0
2020-04-01,Tulare,California,6107.0,59,2,14.0
2020-04-02,Tulare,California,6107.0,74,2,15.0
2020-04-03,Tulare,California,6107.0,81,3,7.0
2020-04-04,Tulare,California,6107.0,107,5,26.0
2020-04-05,Tulare,California,6107.0,116,5,9.0
2020-04-06,Tulare,California,6107.0,135,6,19.0
2020-04-07,Tulare,California,6107.0,157,6,22.0
2020-04-08,Tulare,California,6107.0,168,7,11.0
2020-04-09,Tulare,California,6107.0,187,10,19.0
2020-04-10,Tulare,California,6107.0,203,11,16.0
2020-04-11,Tulare,California,6107.0,227,11,24.0
2020-04-12,Tulare,California,6107.0,227,11,0.0
2020-04-13,Tulare,California,6107.0,264,13,37.0
2020-04-14,Tulare,California,6107.0,296,13,32.0
2020-04-15,Tulare,California,6107.0,352,15,56.0
2020-04-16,Tulare,California,6107.0,372,17,20.0
2020-04-17,Tulare,California,6107.0,382,17,10.0
2020-04-18,Tulare,California,6107.0,397,17,15.0
2020-04-19,Tulare,California,6107.0,411,17,14.0
2020-04-20,Tulare,California,6107.0,422,18,11.0
2020-04-21,Tulare,California,6107.0,436,22,14.0
2020-04-22,Tulare,California,6107.0,441,25,5.0
2020-04-23,Tulare,California,6107.0,453,25,12.0
2020-04-24,Tulare,California,6107.0,472,28,19.0
2020-04-25,Tulare,California,6107.0,491,32,19.0
2020-04-26,Tulare,California,6107.0,504,32,13.0
2020-04-27,Tulare,California,6107.0,532,32,28.0
2020-04-28,Tulare,California,6107.0,578,35,46.0
2020-04-29,Tulare,California,6107.0,626,36,48.0
2020-04-30,Tulare,California,6107.0,640,40,14.0
2020-05-01,Tulare,California,6107.0,680,40,40.0
2020-05-02,Tulare,California,6107.0,720,40,40.0
2020-05-03,Tulare,California,6107.0,743,40,23.0
2020-05-04,Tulare,California,6107.0,757,40,14.0
2020-05-05,Tulare,California,6107.0,858,40,101.0
2020-05-06,Tulare,California,6107.0,916,41,58.0
2020-05-07,Tulare,California,6107.0,969,43,53.0
2020-05-08,Tulare,California,6107.0,1013,44,44.0
2020-05-09,Tulare,California,6107.0,1079,46,66.0
2020-05-10,Tulare,California,6107.0,1140,48,61.0
2020-05-11,Tulare,California,6107.0,1159,50,19.0
2020-05-12,Tulare,California,6107.0,1241,52,82.0
2020-05-13,Tulare,California,6107.0,1268,54,27.0
2020-05-14,Tulare,California,6107.0,1295,54,27.0
2020-05-15,Tulare,California,6107.0,1338,64,43.0
2020-05-16,Tulare,California,6107.0,1426,67,88.0
2020-05-17,Tulare,California,6107.0,1430,67,4.0
2020-05-18,Tulare,California,6107.0,1436,67,6.0
2020-05-19,Tulare,California,6107.0,1539,71,103.0
2020-05-20,Tulare,California,6107.0,1552,73,13.0
2020-05-21,Tulare,California,6107.0,1603,74,51.0
2020-05-22,Tulare,California,6107.0,1641,75,38.0
2020-05-23,Tulare,California,6107.0,1662,75,21.0
2020-05-24,Tulare,California,6107.0,1682,75,20.0
2020-05-25,Tulare,California,6107.0,1684,75,2.0
2020-05-26,Tulare,California,6107.0,1771,79,87.0
2020-05-27,Tulare,California,6107.0,1796,79,25.0
2020-05-28,Tulare,California,6107.0,1835,80,39.0
2020-05-29,Tulare,California,6107.0,1844,84,9.0
2020-05-30,Tulare,California,6107.0,1852,84,8.0
2020-05-31,Tulare,California,6107.0,1879,84,27.0
2020-06-01,Tulare,California,6107.0,1897,89,18.0
2020-06-02,Tulare,California,6107.0,2004,89,107.0
2020-06-03,Tulare,California,6107.0,2026,90,22.0
2020-06-04,Tulare,California,6107.0,2083,92,57.0
