date,county,state,fips,cases,deaths,new_cases
2020-03-10,Ventura,California,6111.0,1,0,1.0
2020-03-11,Ventura,California,6111.0,2,0,1.0
2020-03-12,Ventura,California,6111.0,2,0,0.0
2020-03-13,Ventura,California,6111.0,5,0,3.0
2020-03-14,Ventura,California,6111.0,5,0,0.0
2020-03-15,Ventura,California,6111.0,5,0,0.0
2020-03-16,Ventura,California,6111.0,5,0,0.0
2020-03-17,Ventura,California,6111.0,10,0,5.0
2020-03-18,Ventura,California,6111.0,13,0,3.0
2020-03-19,Ventura,California,6111.0,19,0,6.0
2020-03-20,Ventura,California,6111.0,19,0,0.0
2020-03-21,Ventura,California,6111.0,26,0,7.0
2020-03-22,Ventura,California,6111.0,30,1,4.0
2020-03-23,Ventura,California,6111.0,35,1,5.0
2020-03-24,Ventura,California,6111.0,39,1,4.0
2020-03-25,Ventura,California,6111.0,50,1,11.0
2020-03-26,Ventura,California,6111.0,61,1,11.0
2020-03-27,Ventura,California,6111.0,83,3,22.0
2020-03-28,Ventura,California,6111.0,98,3,15.0
2020-03-29,Ventura,California,6111.0,109,4,11.0
2020-03-30,Ventura,California,6111.0,126,4,17.0
2020-03-31,Ventura,California,6111.0,149,5,23.0
2020-04-01,Ventura,California,6111.0,160,5,11.0
2020-04-02,Ventura,California,6111.0,177,6,17.0
2020-04-03,Ventura,California,6111.0,189,6,12.0
2020-04-04,Ventura,California,6111.0,203,6,14.0
2020-04-05,Ventura,California,6111.0,221,6,18.0
2020-04-06,Ventura,California,6111.0,226,6,5.0
2020-04-07,Ventura,California,6111.0,243,6,17.0
2020-04-08,Ventura,California,6111.0,263,7,20.0
2020-04-09,Ventura,California,6111.0,274,7,11.0
2020-04-10,Ventura,California,6111.0,298,10,24.0
2020-04-11,Ventura,California,6111.0,309,10,11.0
2020-04-12,Ventura,California,6111.0,314,10,5.0
2020-04-13,Ventura,California,6111.0,317,10,3.0
2020-04-14,Ventura,California,6111.0,350,13,33.0
2020-04-15,Ventura,California,6111.0,365,13,15.0
2020-04-16,Ventura,California,6111.0,384,13,19.0
2020-04-17,Ventura,California,6111.0,396,13,12.0
2020-04-18,Ventura,California,6111.0,416,13,20.0
2020-04-19,Ventura,California,6111.0,416,13,0.0
2020-04-20,Ventura,California,6111.0,428,13,12.0
2020-04-21,Ventura,California,6111.0,443,13,15.0
2020-04-22,Ventura,California,6111.0,451,14,8.0
2020-04-23,Ventura,California,6111.0,465,16,14.0
2020-04-24,Ventura,California,6111.0,476,16,11.0
2020-04-25,Ventura,California,6111.0,476,16,0.0
2020-04-26,Ventura,California,6111.0,497,17,21.0
2020-04-27,Ventura,California,6111.0,509,17,12.0
2020-04-28,Ventura,California,6111.0,513,17,4.0
2020-04-29,Ventura,California,6111.0,517,17,4.0
2020-04-30,Ventura,California,6111.0,535,18,18.0
2020-05-01,Ventura,California,6111.0,547,18,12.0
2020-05-02,Ventura,California,6111.0,559,19,12.0
2020-05-03,Ventura,California,6111.0,566,19,7.0
2020-05-04,Ventura,California,6111.0,583,19,17.0
2020-05-05,Ventura,California,6111.0,595,19,12.0
2020-05-06,Ventura,California,6111.0,608,19,13.0
2020-05-07,Ventura,California,6111.0,631,19,23.0
2020-05-08,Ventura,California,6111.0,652,19,21.0
2020-05-09,Ventura,California,6111.0,666,19,14.0
2020-05-10,Ventura,California,6111.0,679,19,13.0
2020-05-11,Ventura,California,6111.0,690,19,11.0
2020-05-12,Ventura,California,6111.0,698,19,8.0
2020-05-13,Ventura,California,6111.0,725,24,27.0
2020-05-14,Ventura,California,6111.0,742,24,17.0
2020-05-15,Ventura,California,6111.0,760,25,18.0
2020-05-16,Ventura,California,6111.0,789,25,29.0
2020-05-17,Ventura,California,6111.0,813,25,24.0
2020-05-18,Ventura,California,6111.0,838,25,25.0
2020-05-19,Ventura,California,6111.0,850,28,12.0
2020-05-20,Ventura,California,6111.0,861,29,11.0
2020-05-21,Ventura,California,6111.0,883,29,22.0
2020-05-22,Ventura,California,6111.0,912,30,29.0
2020-05-23,Ventura,California,6111.0,937,30,25.0
