date,county,state,fips,cases,deaths,new_cases
2020-03-06,Yolo,California,6113.0,1,0,1.0
2020-03-07,Yolo,California,6113.0,1,0,0.0
2020-03-08,Yolo,California,6113.0,1,0,0.0
2020-03-09,Yolo,California,6113.0,1,0,0.0
2020-03-10,Yolo,California,6113.0,1,0,0.0
2020-03-11,Yolo,California,6113.0,1,0,0.0
2020-03-12,Yolo,California,6113.0,1,0,0.0
2020-03-13,Yolo,California,6113.0,2,0,1.0
2020-03-14,Yolo,California,6113.0,2,0,0.0
2020-03-15,Yolo,California,6113.0,2,0,0.0
2020-03-16,Yolo,California,6113.0,2,0,0.0
2020-03-17,Yolo,California,6113.0,4,0,2.0
2020-03-18,Yolo,California,6113.0,5,0,1.0
2020-03-19,Yolo,California,6113.0,5,0,0.0
2020-03-20,Yolo,California,6113.0,6,0,1.0
2020-03-21,Yolo,California,6113.0,6,0,0.0
2020-03-22,Yolo,California,6113.0,6,1,0.0
2020-03-23,Yolo,California,6113.0,8,1,2.0
2020-03-24,Yolo,California,6113.0,10,1,2.0
2020-03-25,Yolo,California,6113.0,11,1,1.0
2020-03-26,Yolo,California,6113.0,11,1,0.0
2020-03-27,Yolo,California,6113.0,16,1,5.0
2020-03-28,Yolo,California,6113.0,16,1,0.0
2020-03-29,Yolo,California,6113.0,16,1,0.0
2020-03-30,Yolo,California,6113.0,24,1,8.0
2020-03-31,Yolo,California,6113.0,25,1,1.0
2020-04-01,Yolo,California,6113.0,28,1,3.0
2020-04-02,Yolo,California,6113.0,28,1,0.0
2020-04-03,Yolo,California,6113.0,33,1,5.0
2020-04-04,Yolo,California,6113.0,33,1,0.0
2020-04-05,Yolo,California,6113.0,37,1,4.0
2020-04-06,Yolo,California,6113.0,50,1,13.0
2020-04-07,Yolo,California,6113.0,56,2,6.0
2020-04-08,Yolo,California,6113.0,67,3,11.0
2020-04-09,Yolo,California,6113.0,71,3,4.0
2020-04-10,Yolo,California,6113.0,75,3,4.0
2020-04-11,Yolo,California,6113.0,88,3,13.0
2020-04-12,Yolo,California,6113.0,93,3,5.0
2020-04-13,Yolo,California,6113.0,101,4,8.0
2020-04-14,Yolo,California,6113.0,102,4,1.0
2020-04-15,Yolo,California,6113.0,116,7,14.0
2020-04-16,Yolo,California,6113.0,125,7,9.0
2020-04-17,Yolo,California,6113.0,126,8,1.0
2020-04-18,Yolo,California,6113.0,137,8,11.0
2020-04-19,Yolo,California,6113.0,137,9,0.0
2020-04-20,Yolo,California,6113.0,142,10,5.0
2020-04-21,Yolo,California,6113.0,146,10,4.0
2020-04-22,Yolo,California,6113.0,151,12,5.0
2020-04-23,Yolo,California,6113.0,155,12,4.0
2020-04-24,Yolo,California,6113.0,157,13,2.0
2020-04-25,Yolo,California,6113.0,158,13,1.0
2020-04-26,Yolo,California,6113.0,161,14,3.0
2020-04-27,Yolo,California,6113.0,161,16,0.0
2020-04-28,Yolo,California,6113.0,162,16,1.0
2020-04-29,Yolo,California,6113.0,163,16,1.0
2020-04-30,Yolo,California,6113.0,164,16,1.0
2020-05-01,Yolo,California,6113.0,169,16,5.0
2020-05-02,Yolo,California,6113.0,171,18,2.0
2020-05-03,Yolo,California,6113.0,171,18,0.0
2020-05-04,Yolo,California,6113.0,171,19,0.0
2020-05-05,Yolo,California,6113.0,172,19,1.0
2020-05-06,Yolo,California,6113.0,172,20,0.0
2020-05-07,Yolo,California,6113.0,172,20,0.0
2020-05-08,Yolo,California,6113.0,172,20,0.0
2020-05-09,Yolo,California,6113.0,172,20,0.0
2020-05-10,Yolo,California,6113.0,173,20,1.0
2020-05-11,Yolo,California,6113.0,174,20,1.0
2020-05-12,Yolo,California,6113.0,177,22,3.0
2020-05-13,Yolo,California,6113.0,179,22,2.0
2020-05-14,Yolo,California,6113.0,182,22,3.0
2020-05-15,Yolo,California,6113.0,182,22,0.0
2020-05-16,Yolo,California,6113.0,183,22,1.0
2020-05-17,Yolo,California,6113.0,184,22,1.0
2020-05-18,Yolo,California,6113.0,184,22,0.0
2020-05-19,Yolo,California,6113.0,185,22,1.0
2020-05-20,Yolo,California,6113.0,185,22,0.0
2020-05-21,Yolo,California,6113.0,186,22,1.0
2020-05-22,Yolo,California,6113.0,188,22,2.0
2020-05-23,Yolo,California,6113.0,190,22,2.0
2020-05-24,Yolo,California,6113.0,194,22,4.0
2020-05-25,Yolo,California,6113.0,198,22,4.0
2020-05-26,Yolo,California,6113.0,200,22,2.0
2020-05-27,Yolo,California,6113.0,205,22,5.0
2020-05-28,Yolo,California,6113.0,207,23,2.0
2020-05-29,Yolo,California,6113.0,210,24,3.0
2020-05-30,Yolo,California,6113.0,211,24,1.0
2020-05-31,Yolo,California,6113.0,211,24,0.0
2020-06-01,Yolo,California,6113.0,212,24,1.0
2020-06-02,Yolo,California,6113.0,213,24,1.0
2020-06-03,Yolo,California,6113.0,214,24,1.0
2020-06-04,Yolo,California,6113.0,216,24,2.0
2020-06-05,Yolo,California,6113.0,218,24,2.0
2020-06-06,Yolo,California,6113.0,221,24,3.0
