date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-21,Yuba,California,6115.0,2,0,2.0,0.0
2020-03-22,Yuba,California,6115.0,2,0,0.0,0.0
2020-03-23,Yuba,California,6115.0,3,0,1.0,0.0
2020-03-24,Yuba,California,6115.0,3,0,0.0,0.0
2020-03-25,Yuba,California,6115.0,3,0,0.0,0.0
2020-03-26,Yuba,California,6115.0,3,0,0.0,0.0
2020-03-27,Yuba,California,6115.0,3,0,0.0,0.0
2020-03-28,Yuba,California,6115.0,3,0,0.0,0.0
2020-03-29,Yuba,California,6115.0,3,0,0.0,0.0
2020-03-30,Yuba,California,6115.0,6,0,3.0,0.0
2020-03-31,Yuba,California,6115.0,7,0,1.0,0.0
2020-04-01,Yuba,California,6115.0,7,0,0.0,0.0
2020-04-02,Yuba,California,6115.0,8,0,1.0,0.0
2020-04-03,Yuba,California,6115.0,9,0,1.0,0.0
2020-04-04,Yuba,California,6115.0,9,0,0.0,0.0
2020-04-05,Yuba,California,6115.0,10,0,1.0,0.0
2020-04-06,Yuba,California,6115.0,11,0,1.0,0.0
2020-04-07,Yuba,California,6115.0,13,0,2.0,0.0
2020-04-08,Yuba,California,6115.0,15,2,2.0,2.0
2020-04-09,Yuba,California,6115.0,15,3,0.0,1.0
2020-04-10,Yuba,California,6115.0,15,1,0.0,-2.0
2020-04-11,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-12,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-13,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-14,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-15,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-16,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-17,Yuba,California,6115.0,15,1,0.0,0.0
2020-04-18,Yuba,California,6115.0,16,1,1.0,0.0
2020-04-19,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-20,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-21,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-22,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-23,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-24,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-25,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-26,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-27,Yuba,California,6115.0,16,1,0.0,0.0
2020-04-28,Yuba,California,6115.0,17,1,1.0,0.0
2020-04-29,Yuba,California,6115.0,17,1,0.0,0.0
2020-04-30,Yuba,California,6115.0,18,1,1.0,0.0
2020-05-01,Yuba,California,6115.0,19,1,1.0,0.0
2020-05-02,Yuba,California,6115.0,19,1,0.0,0.0
2020-05-03,Yuba,California,6115.0,19,1,0.0,0.0
2020-05-04,Yuba,California,6115.0,19,1,0.0,0.0
2020-05-05,Yuba,California,6115.0,19,1,0.0,0.0
2020-05-06,Yuba,California,6115.0,19,1,0.0,0.0
2020-05-07,Yuba,California,6115.0,20,1,1.0,0.0
2020-05-08,Yuba,California,6115.0,20,1,0.0,0.0
2020-05-09,Yuba,California,6115.0,20,1,0.0,0.0
2020-05-10,Yuba,California,6115.0,20,1,0.0,0.0
2020-05-11,Yuba,California,6115.0,21,1,1.0,0.0
2020-05-12,Yuba,California,6115.0,23,1,2.0,0.0
2020-05-13,Yuba,California,6115.0,25,1,2.0,0.0
2020-05-14,Yuba,California,6115.0,25,1,0.0,0.0
2020-05-15,Yuba,California,6115.0,25,1,0.0,0.0
2020-05-16,Yuba,California,6115.0,25,1,0.0,0.0
2020-05-17,Yuba,California,6115.0,26,1,1.0,0.0
2020-05-18,Yuba,California,6115.0,28,1,2.0,0.0
2020-05-19,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-20,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-21,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-22,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-23,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-24,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-25,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-26,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-27,Yuba,California,6115.0,28,1,0.0,0.0
2020-05-28,Yuba,California,6115.0,29,1,1.0,0.0
2020-05-29,Yuba,California,6115.0,29,1,0.0,0.0
2020-05-30,Yuba,California,6115.0,30,1,1.0,0.0
2020-05-31,Yuba,California,6115.0,30,1,0.0,0.0
2020-06-01,Yuba,California,6115.0,30,1,0.0,0.0
2020-06-02,Yuba,California,6115.0,31,1,1.0,0.0
2020-06-03,Yuba,California,6115.0,31,1,0.0,0.0
2020-06-04,Yuba,California,6115.0,31,1,0.0,0.0
2020-06-05,Yuba,California,6115.0,32,1,1.0,0.0
2020-06-06,Yuba,California,6115.0,32,1,0.0,0.0
2020-06-07,Yuba,California,6115.0,32,1,0.0,0.0
2020-06-08,Yuba,California,6115.0,32,1,0.0,0.0
2020-06-09,Yuba,California,6115.0,32,1,0.0,0.0
2020-06-10,Yuba,California,6115.0,33,1,1.0,0.0
2020-06-11,Yuba,California,6115.0,34,1,1.0,0.0
2020-06-12,Yuba,California,6115.0,35,1,1.0,0.0
2020-06-13,Yuba,California,6115.0,35,1,0.0,0.0
2020-06-14,Yuba,California,6115.0,35,1,0.0,0.0
2020-06-15,Yuba,California,6115.0,36,1,1.0,0.0
2020-06-16,Yuba,California,6115.0,37,1,1.0,0.0
2020-06-17,Yuba,California,6115.0,39,1,2.0,0.0
2020-06-18,Yuba,California,6115.0,39,1,0.0,0.0
2020-06-19,Yuba,California,6115.0,39,1,0.0,0.0
2020-06-20,Yuba,California,6115.0,42,1,3.0,0.0
2020-06-21,Yuba,California,6115.0,42,1,0.0,0.0
2020-06-22,Yuba,California,6115.0,43,1,1.0,0.0
2020-06-23,Yuba,California,6115.0,43,1,0.0,0.0
2020-06-24,Yuba,California,6115.0,49,1,6.0,0.0
