date,county,state,fips,cases,deaths,new_cases
2020-03-07,Fresno,California,6019.0,1,0,1.0
2020-03-08,Fresno,California,6019.0,1,0,0.0
2020-03-09,Fresno,California,6019.0,1,0,0.0
2020-03-10,Fresno,California,6019.0,1,0,0.0
2020-03-11,Fresno,California,6019.0,1,0,0.0
2020-03-12,Fresno,California,6019.0,1,0,0.0
2020-03-13,Fresno,California,6019.0,1,0,0.0
2020-03-14,Fresno,California,6019.0,2,0,1.0
2020-03-15,Fresno,California,6019.0,2,0,0.0
2020-03-16,Fresno,California,6019.0,2,0,0.0
2020-03-17,Fresno,California,6019.0,2,0,0.0
2020-03-18,Fresno,California,6019.0,4,0,2.0
2020-03-19,Fresno,California,6019.0,4,0,0.0
2020-03-20,Fresno,California,6019.0,10,0,6.0
2020-03-21,Fresno,California,6019.0,10,0,0.0
2020-03-22,Fresno,California,6019.0,10,0,0.0
2020-03-23,Fresno,California,6019.0,13,0,3.0
2020-03-24,Fresno,California,6019.0,18,0,5.0
2020-03-25,Fresno,California,6019.0,19,0,1.0
2020-03-26,Fresno,California,6019.0,27,0,8.0
2020-03-27,Fresno,California,6019.0,31,0,4.0
2020-03-28,Fresno,California,6019.0,43,0,12.0
2020-03-29,Fresno,California,6019.0,43,0,0.0
2020-03-30,Fresno,California,6019.0,53,0,10.0
2020-03-31,Fresno,California,6019.0,68,0,15.0
2020-04-01,Fresno,California,6019.0,82,0,14.0
2020-04-02,Fresno,California,6019.0,94,0,12.0
2020-04-03,Fresno,California,6019.0,100,1,6.0
2020-04-04,Fresno,California,6019.0,103,1,3.0
2020-04-05,Fresno,California,6019.0,108,1,5.0
2020-04-06,Fresno,California,6019.0,124,2,16.0
2020-04-07,Fresno,California,6019.0,146,3,22.0
2020-04-08,Fresno,California,6019.0,156,3,10.0
2020-04-09,Fresno,California,6019.0,173,3,17.0
2020-04-10,Fresno,California,6019.0,191,5,18.0
2020-04-11,Fresno,California,6019.0,201,5,10.0
2020-04-12,Fresno,California,6019.0,201,5,0.0
2020-04-13,Fresno,California,6019.0,222,5,21.0
2020-04-14,Fresno,California,6019.0,222,5,0.0
2020-04-15,Fresno,California,6019.0,265,7,43.0
2020-04-16,Fresno,California,6019.0,295,7,30.0
2020-04-17,Fresno,California,6019.0,311,7,16.0
2020-04-18,Fresno,California,6019.0,315,7,4.0
2020-04-19,Fresno,California,6019.0,315,7,0.0
2020-04-20,Fresno,California,6019.0,351,7,36.0
2020-04-21,Fresno,California,6019.0,371,7,20.0
2020-04-22,Fresno,California,6019.0,384,7,13.0
2020-04-23,Fresno,California,6019.0,419,7,35.0
2020-04-24,Fresno,California,6019.0,443,7,24.0
2020-04-25,Fresno,California,6019.0,458,7,15.0
2020-04-26,Fresno,California,6019.0,458,7,0.0
2020-04-27,Fresno,California,6019.0,498,7,40.0
2020-04-28,Fresno,California,6019.0,521,7,23.0
2020-04-29,Fresno,California,6019.0,538,7,17.0
2020-04-30,Fresno,California,6019.0,564,7,26.0
2020-05-01,Fresno,California,6019.0,615,8,51.0
2020-05-02,Fresno,California,6019.0,633,8,18.0
2020-05-03,Fresno,California,6019.0,633,8,0.0
2020-05-04,Fresno,California,6019.0,672,9,39.0
2020-05-05,Fresno,California,6019.0,724,9,52.0
2020-05-06,Fresno,California,6019.0,777,9,53.0
2020-05-07,Fresno,California,6019.0,813,9,36.0
2020-05-08,Fresno,California,6019.0,841,9,28.0
2020-05-09,Fresno,California,6019.0,885,9,44.0
2020-05-10,Fresno,California,6019.0,885,9,0.0
2020-05-11,Fresno,California,6019.0,945,9,60.0
2020-05-12,Fresno,California,6019.0,984,10,39.0
2020-05-13,Fresno,California,6019.0,1014,13,30.0
2020-05-14,Fresno,California,6019.0,1074,13,60.0
