date,county,state,fips,cases,deaths,new_cases
2020-02-20,Humboldt,California,6023.0,1,0,1.0
2020-02-21,Humboldt,California,6023.0,1,0,0.0
2020-02-22,Humboldt,California,6023.0,1,0,0.0
2020-02-23,Humboldt,California,6023.0,1,0,0.0
2020-02-24,Humboldt,California,6023.0,1,0,0.0
2020-02-25,Humboldt,California,6023.0,1,0,0.0
2020-02-26,Humboldt,California,6023.0,1,0,0.0
2020-02-27,Humboldt,California,6023.0,1,0,0.0
2020-02-28,Humboldt,California,6023.0,1,0,0.0
2020-02-29,Humboldt,California,6023.0,1,0,0.0
2020-03-01,Humboldt,California,6023.0,1,0,0.0
2020-03-02,Humboldt,California,6023.0,1,0,0.0
2020-03-03,Humboldt,California,6023.0,1,0,0.0
2020-03-04,Humboldt,California,6023.0,1,0,0.0
2020-03-05,Humboldt,California,6023.0,1,0,0.0
2020-03-06,Humboldt,California,6023.0,1,0,0.0
2020-03-07,Humboldt,California,6023.0,1,0,0.0
2020-03-08,Humboldt,California,6023.0,1,0,0.0
2020-03-09,Humboldt,California,6023.0,1,0,0.0
2020-03-10,Humboldt,California,6023.0,1,0,0.0
2020-03-11,Humboldt,California,6023.0,1,0,0.0
2020-03-12,Humboldt,California,6023.0,1,0,0.0
2020-03-13,Humboldt,California,6023.0,1,0,0.0
2020-03-14,Humboldt,California,6023.0,1,0,0.0
2020-03-15,Humboldt,California,6023.0,1,0,0.0
2020-03-16,Humboldt,California,6023.0,1,0,0.0
2020-03-17,Humboldt,California,6023.0,1,0,0.0
2020-03-18,Humboldt,California,6023.0,1,0,0.0
2020-03-19,Humboldt,California,6023.0,1,0,0.0
2020-03-20,Humboldt,California,6023.0,2,0,1.0
2020-03-21,Humboldt,California,6023.0,2,0,0.0
2020-03-22,Humboldt,California,6023.0,2,0,0.0
2020-03-23,Humboldt,California,6023.0,2,0,0.0
2020-03-24,Humboldt,California,6023.0,5,0,3.0
2020-03-25,Humboldt,California,6023.0,10,0,5.0
2020-03-26,Humboldt,California,6023.0,12,0,2.0
2020-03-27,Humboldt,California,6023.0,14,0,2.0
2020-03-28,Humboldt,California,6023.0,18,0,4.0
2020-03-29,Humboldt,California,6023.0,18,0,0.0
2020-03-30,Humboldt,California,6023.0,21,0,3.0
2020-03-31,Humboldt,California,6023.0,27,0,6.0
2020-04-01,Humboldt,California,6023.0,27,0,0.0
2020-04-02,Humboldt,California,6023.0,37,0,10.0
2020-04-03,Humboldt,California,6023.0,40,0,3.0
2020-04-04,Humboldt,California,6023.0,44,0,4.0
2020-04-05,Humboldt,California,6023.0,44,0,0.0
2020-04-06,Humboldt,California,6023.0,49,0,5.0
2020-04-07,Humboldt,California,6023.0,50,0,1.0
2020-04-08,Humboldt,California,6023.0,50,0,0.0
2020-04-09,Humboldt,California,6023.0,50,0,0.0
2020-04-10,Humboldt,California,6023.0,50,0,0.0
2020-04-11,Humboldt,California,6023.0,50,0,0.0
2020-04-12,Humboldt,California,6023.0,50,0,0.0
2020-04-13,Humboldt,California,6023.0,50,0,0.0
2020-04-14,Humboldt,California,6023.0,51,0,1.0
2020-04-15,Humboldt,California,6023.0,52,0,1.0
2020-04-16,Humboldt,California,6023.0,52,0,0.0
2020-04-17,Humboldt,California,6023.0,52,0,0.0
2020-04-18,Humboldt,California,6023.0,52,0,0.0
2020-04-19,Humboldt,California,6023.0,52,0,0.0
2020-04-20,Humboldt,California,6023.0,52,0,0.0
2020-04-21,Humboldt,California,6023.0,52,0,0.0
2020-04-22,Humboldt,California,6023.0,52,0,0.0
2020-04-23,Humboldt,California,6023.0,52,0,0.0
2020-04-24,Humboldt,California,6023.0,53,0,1.0
2020-04-25,Humboldt,California,6023.0,53,0,0.0
2020-04-26,Humboldt,California,6023.0,53,0,0.0
2020-04-27,Humboldt,California,6023.0,53,0,0.0
2020-04-28,Humboldt,California,6023.0,53,0,0.0
2020-04-29,Humboldt,California,6023.0,54,0,1.0
2020-04-30,Humboldt,California,6023.0,54,0,0.0
2020-05-01,Humboldt,California,6023.0,54,0,0.0
2020-05-02,Humboldt,California,6023.0,54,0,0.0
2020-05-03,Humboldt,California,6023.0,54,0,0.0
2020-05-04,Humboldt,California,6023.0,54,0,0.0
2020-05-05,Humboldt,California,6023.0,54,0,0.0
2020-05-06,Humboldt,California,6023.0,55,0,1.0
2020-05-07,Humboldt,California,6023.0,55,0,0.0
2020-05-08,Humboldt,California,6023.0,55,0,0.0
2020-05-09,Humboldt,California,6023.0,57,0,2.0
2020-05-10,Humboldt,California,6023.0,57,0,0.0
2020-05-11,Humboldt,California,6023.0,61,0,4.0
2020-05-12,Humboldt,California,6023.0,64,0,3.0
2020-05-13,Humboldt,California,6023.0,67,0,3.0
2020-05-14,Humboldt,California,6023.0,68,0,1.0
