date,county,state,fips,cases,deaths,population,new_cases
2020-03-25,Inyo,California,6027.0,1,0,18039,1.0
2020-03-26,Inyo,California,6027.0,2,0,18039,1.0
2020-03-27,Inyo,California,6027.0,5,0,18039,3.0
2020-03-28,Inyo,California,6027.0,5,0,18039,0.0
2020-03-29,Inyo,California,6027.0,8,0,18039,3.0
2020-03-30,Inyo,California,6027.0,8,0,18039,0.0
2020-03-31,Inyo,California,6027.0,8,0,18039,0.0
2020-04-01,Inyo,California,6027.0,9,0,18039,1.0
2020-04-02,Inyo,California,6027.0,10,1,18039,1.0
2020-04-03,Inyo,California,6027.0,10,0,18039,0.0
2020-04-04,Inyo,California,6027.0,10,0,18039,0.0
2020-04-05,Inyo,California,6027.0,11,0,18039,1.0
2020-04-06,Inyo,California,6027.0,11,0,18039,0.0
2020-04-07,Inyo,California,6027.0,11,0,18039,0.0
2020-04-08,Inyo,California,6027.0,11,0,18039,0.0
2020-04-09,Inyo,California,6027.0,11,0,18039,0.0
2020-04-10,Inyo,California,6027.0,12,0,18039,1.0
2020-04-11,Inyo,California,6027.0,12,0,18039,0.0
2020-04-12,Inyo,California,6027.0,12,0,18039,0.0
2020-04-13,Inyo,California,6027.0,12,0,18039,0.0
2020-04-14,Inyo,California,6027.0,12,0,18039,0.0
2020-04-15,Inyo,California,6027.0,17,0,18039,5.0
2020-04-16,Inyo,California,6027.0,17,0,18039,0.0
2020-04-17,Inyo,California,6027.0,18,0,18039,1.0
2020-04-18,Inyo,California,6027.0,18,0,18039,0.0
2020-04-19,Inyo,California,6027.0,18,0,18039,0.0
2020-04-20,Inyo,California,6027.0,18,0,18039,0.0
2020-04-21,Inyo,California,6027.0,18,0,18039,0.0
2020-04-22,Inyo,California,6027.0,19,0,18039,1.0
2020-04-23,Inyo,California,6027.0,19,0,18039,0.0
2020-04-24,Inyo,California,6027.0,19,1,18039,0.0
2020-04-25,Inyo,California,6027.0,19,1,18039,0.0
2020-04-26,Inyo,California,6027.0,19,1,18039,0.0
2020-04-27,Inyo,California,6027.0,20,1,18039,1.0
2020-04-28,Inyo,California,6027.0,20,1,18039,0.0
2020-04-29,Inyo,California,6027.0,20,1,18039,0.0
2020-04-30,Inyo,California,6027.0,20,1,18039,0.0
2020-05-01,Inyo,California,6027.0,20,1,18039,0.0
2020-05-02,Inyo,California,6027.0,20,1,18039,0.0
2020-05-03,Inyo,California,6027.0,20,1,18039,0.0
2020-05-04,Inyo,California,6027.0,20,1,18039,0.0
2020-05-05,Inyo,California,6027.0,20,1,18039,0.0
2020-05-06,Inyo,California,6027.0,20,1,18039,0.0
2020-05-07,Inyo,California,6027.0,20,1,18039,0.0
2020-05-08,Inyo,California,6027.0,20,1,18039,0.0
2020-05-09,Inyo,California,6027.0,20,1,18039,0.0
2020-05-10,Inyo,California,6027.0,20,1,18039,0.0
2020-05-11,Inyo,California,6027.0,20,1,18039,0.0
2020-05-12,Inyo,California,6027.0,20,1,18039,0.0
2020-05-13,Inyo,California,6027.0,20,1,18039,0.0
2020-05-14,Inyo,California,6027.0,20,1,18039,0.0
2020-05-15,Inyo,California,6027.0,20,1,18039,0.0
2020-05-16,Inyo,California,6027.0,20,1,18039,0.0
2020-05-17,Inyo,California,6027.0,20,1,18039,0.0
2020-05-18,Inyo,California,6027.0,20,1,18039,0.0
2020-05-19,Inyo,California,6027.0,20,1,18039,0.0
2020-05-20,Inyo,California,6027.0,20,1,18039,0.0
2020-05-21,Inyo,California,6027.0,20,1,18039,0.0
