date,county,state,fips,cases,deaths,new_cases
2020-03-07,Madera,California,6039.0,1,0,1.0
2020-03-08,Madera,California,6039.0,1,0,0.0
2020-03-09,Madera,California,6039.0,1,0,0.0
2020-03-10,Madera,California,6039.0,1,0,0.0
2020-03-11,Madera,California,6039.0,1,0,0.0
2020-03-12,Madera,California,6039.0,1,0,0.0
2020-03-13,Madera,California,6039.0,1,0,0.0
2020-03-14,Madera,California,6039.0,1,0,0.0
2020-03-15,Madera,California,6039.0,1,0,0.0
2020-03-16,Madera,California,6039.0,1,0,0.0
2020-03-17,Madera,California,6039.0,1,0,0.0
2020-03-18,Madera,California,6039.0,1,0,0.0
2020-03-19,Madera,California,6039.0,3,0,2.0
2020-03-20,Madera,California,6039.0,3,0,0.0
2020-03-21,Madera,California,6039.0,3,0,0.0
2020-03-22,Madera,California,6039.0,3,0,0.0
2020-03-23,Madera,California,6039.0,6,0,3.0
2020-03-24,Madera,California,6039.0,6,0,0.0
2020-03-25,Madera,California,6039.0,7,0,1.0
2020-03-26,Madera,California,6039.0,7,0,0.0
2020-03-27,Madera,California,6039.0,11,1,4.0
2020-03-28,Madera,California,6039.0,15,1,4.0
2020-03-29,Madera,California,6039.0,18,1,3.0
2020-03-30,Madera,California,6039.0,21,1,3.0
2020-03-31,Madera,California,6039.0,23,1,2.0
2020-04-01,Madera,California,6039.0,23,1,0.0
2020-04-02,Madera,California,6039.0,28,1,5.0
2020-04-03,Madera,California,6039.0,28,2,0.0
2020-04-04,Madera,California,6039.0,30,2,2.0
2020-04-05,Madera,California,6039.0,30,2,0.0
2020-04-06,Madera,California,6039.0,28,2,-2.0
2020-04-07,Madera,California,6039.0,30,2,2.0
2020-04-08,Madera,California,6039.0,30,2,0.0
2020-04-09,Madera,California,6039.0,30,2,0.0
2020-04-10,Madera,California,6039.0,32,2,2.0
2020-04-11,Madera,California,6039.0,32,2,0.0
2020-04-12,Madera,California,6039.0,33,2,1.0
2020-04-13,Madera,California,6039.0,33,2,0.0
2020-04-14,Madera,California,6039.0,33,2,0.0
2020-04-15,Madera,California,6039.0,33,2,0.0
2020-04-16,Madera,California,6039.0,33,2,0.0
2020-04-17,Madera,California,6039.0,33,2,0.0
2020-04-18,Madera,California,6039.0,34,2,1.0
2020-04-19,Madera,California,6039.0,34,2,0.0
2020-04-20,Madera,California,6039.0,36,2,2.0
2020-04-21,Madera,California,6039.0,36,2,0.0
2020-04-22,Madera,California,6039.0,36,2,0.0
2020-04-23,Madera,California,6039.0,39,2,3.0
2020-04-24,Madera,California,6039.0,39,2,0.0
2020-04-25,Madera,California,6039.0,40,2,1.0
2020-04-26,Madera,California,6039.0,41,2,1.0
2020-04-27,Madera,California,6039.0,44,2,3.0
2020-04-28,Madera,California,6039.0,45,2,1.0
2020-04-29,Madera,California,6039.0,46,2,1.0
2020-04-30,Madera,California,6039.0,46,2,0.0
2020-05-01,Madera,California,6039.0,46,2,0.0
2020-05-02,Madera,California,6039.0,51,2,5.0
2020-05-03,Madera,California,6039.0,51,2,0.0
2020-05-04,Madera,California,6039.0,54,2,3.0
2020-05-05,Madera,California,6039.0,54,2,0.0
2020-05-06,Madera,California,6039.0,55,2,1.0
2020-05-07,Madera,California,6039.0,62,2,7.0
2020-05-08,Madera,California,6039.0,66,2,4.0
2020-05-09,Madera,California,6039.0,67,2,1.0
2020-05-10,Madera,California,6039.0,67,2,0.0
2020-05-11,Madera,California,6039.0,67,2,0.0
