date,county,state,fips,cases,deaths,new_cases
2020-03-17,Monterey,California,6053.0,2,0,2.0
2020-03-18,Monterey,California,6053.0,2,0,0.0
2020-03-19,Monterey,California,6053.0,2,0,0.0
2020-03-20,Monterey,California,6053.0,5,0,3.0
2020-03-21,Monterey,California,6053.0,11,1,6.0
2020-03-22,Monterey,California,6053.0,14,1,3.0
2020-03-23,Monterey,California,6053.0,20,1,6.0
2020-03-24,Monterey,California,6053.0,20,1,0.0
2020-03-25,Monterey,California,6053.0,24,1,4.0
2020-03-26,Monterey,California,6053.0,24,1,0.0
2020-03-27,Monterey,California,6053.0,27,1,3.0
2020-03-28,Monterey,California,6053.0,27,1,0.0
2020-03-29,Monterey,California,6053.0,32,1,5.0
2020-03-30,Monterey,California,6053.0,36,1,4.0
2020-03-31,Monterey,California,6053.0,42,2,6.0
2020-04-01,Monterey,California,6053.0,42,2,0.0
2020-04-02,Monterey,California,6053.0,48,2,6.0
2020-04-03,Monterey,California,6053.0,53,2,5.0
2020-04-04,Monterey,California,6053.0,62,2,9.0
2020-04-05,Monterey,California,6053.0,62,2,0.0
2020-04-06,Monterey,California,6053.0,63,2,1.0
2020-04-07,Monterey,California,6053.0,64,2,1.0
2020-04-08,Monterey,California,6053.0,69,2,5.0
2020-04-09,Monterey,California,6053.0,71,3,2.0
2020-04-10,Monterey,California,6053.0,79,3,8.0
2020-04-11,Monterey,California,6053.0,82,3,3.0
2020-04-12,Monterey,California,6053.0,87,3,5.0
2020-04-13,Monterey,California,6053.0,87,3,0.0
2020-04-14,Monterey,California,6053.0,100,3,13.0
2020-04-15,Monterey,California,6053.0,108,3,8.0
2020-04-16,Monterey,California,6053.0,119,3,11.0
2020-04-17,Monterey,California,6053.0,119,3,0.0
2020-04-18,Monterey,California,6053.0,136,3,17.0
2020-04-19,Monterey,California,6053.0,141,4,5.0
2020-04-20,Monterey,California,6053.0,148,4,7.0
2020-04-21,Monterey,California,6053.0,150,4,2.0
2020-04-22,Monterey,California,6053.0,154,4,4.0
2020-04-23,Monterey,California,6053.0,164,4,10.0
2020-04-24,Monterey,California,6053.0,169,4,5.0
2020-04-25,Monterey,California,6053.0,176,4,7.0
2020-04-26,Monterey,California,6053.0,183,4,7.0
2020-04-27,Monterey,California,6053.0,185,4,2.0
2020-04-28,Monterey,California,6053.0,191,5,6.0
2020-04-29,Monterey,California,6053.0,206,5,15.0
2020-04-30,Monterey,California,6053.0,213,5,7.0
2020-05-01,Monterey,California,6053.0,222,5,9.0
2020-05-02,Monterey,California,6053.0,222,6,0.0
2020-05-03,Monterey,California,6053.0,225,6,3.0
2020-05-04,Monterey,California,6053.0,235,6,10.0
2020-05-05,Monterey,California,6053.0,237,6,2.0
2020-05-06,Monterey,California,6053.0,240,6,3.0
2020-05-07,Monterey,California,6053.0,246,6,6.0
2020-05-08,Monterey,California,6053.0,249,6,3.0
2020-05-09,Monterey,California,6053.0,265,6,16.0
