date,county,state,fips,cases,deaths,population,new_cases
2020-01-25,Orange,California,6059.0,1,0,3175692,1.0
2020-01-26,Orange,California,6059.0,1,0,3175692,0.0
2020-01-27,Orange,California,6059.0,1,0,3175692,0.0
2020-01-28,Orange,California,6059.0,1,0,3175692,0.0
2020-01-29,Orange,California,6059.0,1,0,3175692,0.0
2020-01-30,Orange,California,6059.0,1,0,3175692,0.0
2020-01-31,Orange,California,6059.0,1,0,3175692,0.0
2020-02-01,Orange,California,6059.0,1,0,3175692,0.0
2020-02-02,Orange,California,6059.0,1,0,3175692,0.0
2020-02-03,Orange,California,6059.0,1,0,3175692,0.0
2020-02-04,Orange,California,6059.0,1,0,3175692,0.0
2020-02-05,Orange,California,6059.0,1,0,3175692,0.0
2020-02-06,Orange,California,6059.0,1,0,3175692,0.0
2020-02-07,Orange,California,6059.0,1,0,3175692,0.0
2020-02-08,Orange,California,6059.0,1,0,3175692,0.0
2020-02-09,Orange,California,6059.0,1,0,3175692,0.0
2020-02-10,Orange,California,6059.0,1,0,3175692,0.0
2020-02-11,Orange,California,6059.0,1,0,3175692,0.0
2020-02-12,Orange,California,6059.0,1,0,3175692,0.0
2020-02-13,Orange,California,6059.0,1,0,3175692,0.0
2020-02-14,Orange,California,6059.0,1,0,3175692,0.0
2020-02-15,Orange,California,6059.0,1,0,3175692,0.0
2020-02-16,Orange,California,6059.0,1,0,3175692,0.0
2020-02-17,Orange,California,6059.0,1,0,3175692,0.0
2020-02-18,Orange,California,6059.0,1,0,3175692,0.0
2020-02-19,Orange,California,6059.0,1,0,3175692,0.0
2020-02-20,Orange,California,6059.0,1,0,3175692,0.0
2020-02-21,Orange,California,6059.0,1,0,3175692,0.0
2020-02-22,Orange,California,6059.0,1,0,3175692,0.0
2020-02-23,Orange,California,6059.0,1,0,3175692,0.0
2020-02-24,Orange,California,6059.0,1,0,3175692,0.0
2020-02-25,Orange,California,6059.0,1,0,3175692,0.0
2020-02-26,Orange,California,6059.0,1,0,3175692,0.0
2020-02-27,Orange,California,6059.0,1,0,3175692,0.0
2020-02-28,Orange,California,6059.0,1,0,3175692,0.0
2020-02-29,Orange,California,6059.0,1,0,3175692,0.0
2020-03-01,Orange,California,6059.0,1,0,3175692,0.0
2020-03-02,Orange,California,6059.0,1,0,3175692,0.0
2020-03-03,Orange,California,6059.0,3,0,3175692,2.0
2020-03-04,Orange,California,6059.0,3,0,3175692,0.0
2020-03-05,Orange,California,6059.0,3,0,3175692,0.0
2020-03-06,Orange,California,6059.0,3,0,3175692,0.0
2020-03-07,Orange,California,6059.0,3,0,3175692,0.0
2020-03-08,Orange,California,6059.0,3,0,3175692,0.0
2020-03-09,Orange,California,6059.0,5,0,3175692,2.0
2020-03-10,Orange,California,6059.0,5,0,3175692,0.0
2020-03-11,Orange,California,6059.0,6,0,3175692,1.0
2020-03-12,Orange,California,6059.0,6,0,3175692,0.0
2020-03-13,Orange,California,6059.0,13,0,3175692,7.0
2020-03-14,Orange,California,6059.0,14,0,3175692,1.0
2020-03-15,Orange,California,6059.0,17,0,3175692,3.0
2020-03-16,Orange,California,6059.0,22,0,3175692,5.0
2020-03-17,Orange,California,6059.0,29,0,3175692,7.0
2020-03-18,Orange,California,6059.0,42,0,3175692,13.0
2020-03-19,Orange,California,6059.0,53,0,3175692,11.0
2020-03-20,Orange,California,6059.0,65,0,3175692,12.0
2020-03-21,Orange,California,6059.0,78,0,3175692,13.0
2020-03-22,Orange,California,6059.0,95,0,3175692,17.0
2020-03-23,Orange,California,6059.0,125,0,3175692,30.0
2020-03-24,Orange,California,6059.0,152,0,3175692,27.0
2020-03-25,Orange,California,6059.0,187,1,3175692,35.0
2020-03-26,Orange,California,6059.0,256,1,3175692,69.0
2020-03-27,Orange,California,6059.0,321,3,3175692,65.0
2020-03-28,Orange,California,6059.0,321,3,3175692,0.0
2020-03-29,Orange,California,6059.0,431,4,3175692,110.0
2020-03-30,Orange,California,6059.0,464,4,3175692,33.0
2020-03-31,Orange,California,6059.0,502,7,3175692,38.0
2020-04-01,Orange,California,6059.0,606,10,3175692,104.0
2020-04-02,Orange,California,6059.0,656,13,3175692,50.0
2020-04-03,Orange,California,6059.0,711,13,3175692,55.0
2020-04-04,Orange,California,6059.0,786,14,3175692,75.0
2020-04-05,Orange,California,6059.0,834,14,3175692,48.0
2020-04-06,Orange,California,6059.0,882,14,3175692,48.0
2020-04-07,Orange,California,6059.0,931,15,3175692,49.0
2020-04-08,Orange,California,6059.0,1016,17,3175692,85.0
2020-04-09,Orange,California,6059.0,1079,17,3175692,63.0
2020-04-10,Orange,California,6059.0,1138,17,3175692,59.0
2020-04-11,Orange,California,6059.0,1221,18,3175692,83.0
2020-04-12,Orange,California,6059.0,1277,19,3175692,56.0
2020-04-13,Orange,California,6059.0,1283,19,3175692,6.0
2020-04-14,Orange,California,6059.0,1299,19,3175692,16.0
2020-04-15,Orange,California,6059.0,1376,22,3175692,77.0
2020-04-16,Orange,California,6059.0,1425,25,3175692,49.0
2020-04-17,Orange,California,6059.0,1501,28,3175692,76.0
2020-04-18,Orange,California,6059.0,1556,32,3175692,55.0
2020-04-19,Orange,California,6059.0,1636,32,3175692,80.0
2020-04-20,Orange,California,6059.0,1676,33,3175692,40.0
2020-04-21,Orange,California,6059.0,1691,33,3175692,15.0
2020-04-22,Orange,California,6059.0,1753,34,3175692,62.0
2020-04-23,Orange,California,6059.0,1827,36,3175692,74.0
2020-04-24,Orange,California,6059.0,1845,36,3175692,18.0
2020-04-25,Orange,California,6059.0,1969,38,3175692,124.0
2020-04-26,Orange,California,6059.0,2074,39,3175692,105.0
2020-04-27,Orange,California,6059.0,2126,40,3175692,52.0
2020-04-28,Orange,California,6059.0,2198,42,3175692,72.0
2020-04-29,Orange,California,6059.0,2324,44,3175692,126.0
2020-04-30,Orange,California,6059.0,2421,45,3175692,97.0
2020-05-01,Orange,California,6059.0,2591,50,3175692,170.0
2020-05-02,Orange,California,6059.0,2660,52,3175692,69.0
2020-05-03,Orange,California,6059.0,2774,52,3175692,114.0
2020-05-04,Orange,California,6059.0,2859,57,3175692,85.0
2020-05-05,Orange,California,6059.0,2931,61,3175692,72.0
2020-05-06,Orange,California,6059.0,3041,65,3175692,110.0
2020-05-07,Orange,California,6059.0,3156,66,3175692,115.0
2020-05-08,Orange,California,6059.0,3283,71,3175692,127.0
2020-05-09,Orange,California,6059.0,3395,74,3175692,112.0
2020-05-10,Orange,California,6059.0,3506,76,3175692,111.0
2020-05-11,Orange,California,6059.0,3627,76,3175692,121.0
2020-05-12,Orange,California,6059.0,3699,78,3175692,72.0
2020-05-13,Orange,California,6059.0,3843,80,3175692,144.0
2020-05-14,Orange,California,6059.0,4025,80,3175692,182.0
2020-05-15,Orange,California,6059.0,4163,84,3175692,138.0
2020-05-16,Orange,California,6059.0,4281,86,3175692,118.0
2020-05-17,Orange,California,6059.0,4396,88,3175692,115.0
2020-05-18,Orange,California,6059.0,4466,88,3175692,70.0
2020-05-19,Orange,California,6059.0,4558,88,3175692,92.0
2020-05-20,Orange,California,6059.0,4746,98,3175692,188.0
2020-05-21,Orange,California,6059.0,4866,112,3175692,120.0
