county,cases,population,cases_per_capita
Alameda,3070,1671329,183
Alpine,2,1129,177
Amador,10,39752,25
Butte,40,219186,18
Calaveras,15,45905,32
Colusa,5,21547,23
Contra Costa,1375,1153526,119
Del Norte,43,27812,154
El Dorado,81,192843,42
Fresno,1631,999101,163
Glenn,13,28393,45
Humboldt,98,135558,72
Imperial,1443,181215,796
Inyo,20,18039,110
Kern,1951,900202,216
Kings,698,152940,456
Lake,19,64386,29
Lassen,5,30573,16
Los Angeles,48700,10039107,485
Madera,94,157327,59
Marin,430,258826,166
Mariposa,16,17203,93
Mendocino,40,86749,46
Merced,278,277680,100
Modoc,1,8841,11
Mono,35,14444,242
Monterey,441,434061,101
Napa,110,137744,79
Nevada,41,99755,41
Orange,5651,3175692,177
Placer,194,398329,48
Plumas,5,18807,26
Riverside,7252,2470546,293
Sacramento,1318,1552058,84
San Benito,83,62808,132
San Bernardino,4777,2180085,219
San Diego,7046,3338330,211
San Francisco,2411,881549,273
San Joaquin,834,762148,109
San Luis Obispo,266,283111,93
San Mateo,1967,766573,256
Santa Barbara,1616,446499,361
Santa Clara,2688,1927852,139
Santa Cruz,205,273213,75
Shasta,37,180080,20
Sierra,1,3005,33
Siskiyou,6,43539,13
Solano,507,447643,113
Sonoma,530,494336,107
Stanislaus,677,550660,122
Sutter,42,96971,43
Tehama,4,65084,6
Trinity,2,12285,16
Tulare,1796,466195,385
Tuolumne,4,54478,7
Ventura,1033,846006,122
Yolo,205,220500,92
Yuba,28,78668,35
