date,county,state,fips,cases,deaths,population,new_cases
2020-03-07,Riverside,California,6065.0,1,0,2470546,1.0
2020-03-08,Riverside,California,6065.0,1,0,2470546,0.0
2020-03-09,Riverside,California,6065.0,4,0,2470546,3.0
2020-03-10,Riverside,California,6065.0,4,0,2470546,0.0
2020-03-11,Riverside,California,6065.0,4,0,2470546,0.0
2020-03-12,Riverside,California,6065.0,6,0,2470546,2.0
2020-03-13,Riverside,California,6065.0,10,0,2470546,4.0
2020-03-14,Riverside,California,6065.0,10,0,2470546,0.0
2020-03-15,Riverside,California,6065.0,12,0,2470546,2.0
2020-03-16,Riverside,California,6065.0,14,2,2470546,2.0
2020-03-17,Riverside,California,6065.0,16,3,2470546,2.0
2020-03-18,Riverside,California,6065.0,16,3,2470546,0.0
2020-03-19,Riverside,California,6065.0,22,3,2470546,6.0
2020-03-20,Riverside,California,6065.0,28,4,2470546,6.0
2020-03-21,Riverside,California,6065.0,30,5,2470546,2.0
2020-03-22,Riverside,California,6065.0,45,6,2470546,15.0
2020-03-23,Riverside,California,6065.0,48,6,2470546,3.0
2020-03-24,Riverside,California,6065.0,59,6,2470546,11.0
2020-03-25,Riverside,California,6065.0,107,8,2470546,48.0
2020-03-26,Riverside,California,6065.0,107,8,2470546,0.0
2020-03-27,Riverside,California,6065.0,185,8,2470546,78.0
2020-03-28,Riverside,California,6065.0,185,8,2470546,0.0
2020-03-29,Riverside,California,6065.0,195,8,2470546,10.0
2020-03-30,Riverside,California,6065.0,291,9,2470546,96.0
2020-03-31,Riverside,California,6065.0,371,13,2470546,80.0
2020-04-01,Riverside,California,6065.0,371,13,2470546,0.0
2020-04-02,Riverside,California,6065.0,493,14,2470546,122.0
2020-04-03,Riverside,California,6065.0,638,15,2470546,145.0
2020-04-04,Riverside,California,6065.0,665,18,2470546,27.0
2020-04-05,Riverside,California,6065.0,799,19,2470546,134.0
2020-04-06,Riverside,California,6065.0,946,25,2470546,147.0
2020-04-07,Riverside,California,6065.0,1016,28,2470546,70.0
2020-04-08,Riverside,California,6065.0,1179,32,2470546,163.0
2020-04-09,Riverside,California,6065.0,1280,33,2470546,101.0
2020-04-10,Riverside,California,6065.0,1350,39,2470546,70.0
2020-04-11,Riverside,California,6065.0,1431,41,2470546,81.0
2020-04-12,Riverside,California,6065.0,1619,41,2470546,188.0
2020-04-13,Riverside,California,6065.0,1751,50,2470546,132.0
2020-04-14,Riverside,California,6065.0,1961,50,2470546,210.0
2020-04-15,Riverside,California,6065.0,2105,54,2470546,144.0
2020-04-16,Riverside,California,6065.0,2264,59,2470546,159.0
2020-04-17,Riverside,California,6065.0,2457,69,2470546,193.0
2020-04-18,Riverside,California,6065.0,2602,74,2470546,145.0
2020-04-19,Riverside,California,6065.0,2638,75,2470546,36.0
2020-04-20,Riverside,California,6065.0,2847,85,2470546,209.0
2020-04-21,Riverside,California,6065.0,2960,93,2470546,113.0
2020-04-22,Riverside,California,6065.0,3084,99,2470546,124.0
2020-04-23,Riverside,California,6065.0,3218,109,2470546,134.0
2020-04-24,Riverside,California,6065.0,3315,112,2470546,97.0
2020-04-25,Riverside,California,6065.0,3409,117,2470546,94.0
2020-04-26,Riverside,California,6065.0,3563,118,2470546,154.0
2020-04-27,Riverside,California,6065.0,3643,141,2470546,80.0
2020-04-28,Riverside,California,6065.0,3735,141,2470546,92.0
2020-04-29,Riverside,California,6065.0,3942,143,2470546,207.0
2020-04-30,Riverside,California,6065.0,4031,149,2470546,89.0
2020-05-01,Riverside,California,6065.0,4079,156,2470546,48.0
2020-05-02,Riverside,California,6065.0,4164,167,2470546,85.0
2020-05-03,Riverside,California,6065.0,4180,167,2470546,16.0
2020-05-04,Riverside,California,6065.0,4354,181,2470546,174.0
2020-05-05,Riverside,California,6065.0,4454,184,2470546,100.0
2020-05-06,Riverside,California,6065.0,4672,190,2470546,218.0
2020-05-07,Riverside,California,6065.0,4756,194,2470546,84.0
2020-05-08,Riverside,California,6065.0,4817,204,2470546,61.0
2020-05-09,Riverside,California,6065.0,4992,210,2470546,175.0
2020-05-10,Riverside,California,6065.0,5039,212,2470546,47.0
2020-05-11,Riverside,California,6065.0,5189,217,2470546,150.0
2020-05-12,Riverside,California,6065.0,5248,228,2470546,59.0
2020-05-13,Riverside,California,6065.0,5343,238,2470546,95.0
2020-05-14,Riverside,California,6065.0,5440,246,2470546,97.0
2020-05-15,Riverside,California,6065.0,5618,249,2470546,178.0
2020-05-16,Riverside,California,6065.0,5618,255,2470546,0.0
2020-05-17,Riverside,California,6065.0,5633,259,2470546,15.0
2020-05-18,Riverside,California,6065.0,5952,263,2470546,319.0
2020-05-19,Riverside,California,6065.0,6053,270,2470546,101.0
2020-05-20,Riverside,California,6065.0,6184,274,2470546,131.0
2020-05-21,Riverside,California,6065.0,6343,284,2470546,159.0
