date,county,state,fips,cases,deaths,new_cases
2020-03-13,San Benito,California,6069.0,1,0,1.0
2020-03-14,San Benito,California,6069.0,1,0,0.0
2020-03-15,San Benito,California,6069.0,1,0,0.0
2020-03-16,San Benito,California,6069.0,1,0,0.0
2020-03-17,San Benito,California,6069.0,2,1,1.0
2020-03-18,San Benito,California,6069.0,5,1,3.0
2020-03-19,San Benito,California,6069.0,5,1,0.0
2020-03-20,San Benito,California,6069.0,5,1,0.0
2020-03-21,San Benito,California,6069.0,5,1,0.0
2020-03-22,San Benito,California,6069.0,5,1,0.0
2020-03-23,San Benito,California,6069.0,6,1,1.0
2020-03-24,San Benito,California,6069.0,7,1,1.0
2020-03-25,San Benito,California,6069.0,9,1,2.0
2020-03-26,San Benito,California,6069.0,9,1,0.0
2020-03-27,San Benito,California,6069.0,11,1,2.0
2020-03-28,San Benito,California,6069.0,11,1,0.0
2020-03-29,San Benito,California,6069.0,14,1,3.0
2020-03-30,San Benito,California,6069.0,17,1,3.0
2020-03-31,San Benito,California,6069.0,21,1,4.0
2020-04-01,San Benito,California,6069.0,23,1,2.0
2020-04-02,San Benito,California,6069.0,23,1,0.0
2020-04-03,San Benito,California,6069.0,23,2,0.0
2020-04-04,San Benito,California,6069.0,23,2,0.0
2020-04-05,San Benito,California,6069.0,23,2,0.0
2020-04-06,San Benito,California,6069.0,30,2,7.0
2020-04-07,San Benito,California,6069.0,31,2,1.0
2020-04-08,San Benito,California,6069.0,33,2,2.0
2020-04-09,San Benito,California,6069.0,34,2,1.0
2020-04-10,San Benito,California,6069.0,35,2,1.0
2020-04-11,San Benito,California,6069.0,35,2,0.0
2020-04-12,San Benito,California,6069.0,35,2,0.0
2020-04-13,San Benito,California,6069.0,38,2,3.0
2020-04-14,San Benito,California,6069.0,39,2,1.0
2020-04-15,San Benito,California,6069.0,41,2,2.0
2020-04-16,San Benito,California,6069.0,42,2,1.0
2020-04-17,San Benito,California,6069.0,44,2,2.0
2020-04-18,San Benito,California,6069.0,44,2,0.0
2020-04-19,San Benito,California,6069.0,44,2,0.0
2020-04-20,San Benito,California,6069.0,44,2,0.0
2020-04-21,San Benito,California,6069.0,45,2,1.0
2020-04-22,San Benito,California,6069.0,46,2,1.0
2020-04-23,San Benito,California,6069.0,47,2,1.0
2020-04-24,San Benito,California,6069.0,47,2,0.0
2020-04-25,San Benito,California,6069.0,47,2,0.0
2020-04-26,San Benito,California,6069.0,47,2,0.0
2020-04-27,San Benito,California,6069.0,48,2,1.0
2020-04-28,San Benito,California,6069.0,50,2,2.0
2020-04-29,San Benito,California,6069.0,50,2,0.0
2020-04-30,San Benito,California,6069.0,51,2,1.0
2020-05-01,San Benito,California,6069.0,51,2,0.0
2020-05-02,San Benito,California,6069.0,51,2,0.0
2020-05-03,San Benito,California,6069.0,51,2,0.0
2020-05-04,San Benito,California,6069.0,52,2,1.0
2020-05-05,San Benito,California,6069.0,53,2,1.0
2020-05-06,San Benito,California,6069.0,53,2,0.0
2020-05-07,San Benito,California,6069.0,54,2,1.0
2020-05-08,San Benito,California,6069.0,55,2,1.0
2020-05-09,San Benito,California,6069.0,55,2,0.0
