date,county,state,fips,cases,deaths,population,new_cases
2020-03-15,San Bernardino,California,6071.0,1,0,2180085,1.0
2020-03-16,San Bernardino,California,6071.0,2,0,2180085,1.0
2020-03-17,San Bernardino,California,6071.0,3,0,2180085,1.0
2020-03-18,San Bernardino,California,6071.0,5,0,2180085,2.0
2020-03-19,San Bernardino,California,6071.0,5,0,2180085,0.0
2020-03-20,San Bernardino,California,6071.0,9,0,2180085,4.0
2020-03-21,San Bernardino,California,6071.0,9,0,2180085,0.0
2020-03-22,San Bernardino,California,6071.0,17,0,2180085,8.0
2020-03-23,San Bernardino,California,6071.0,17,0,2180085,0.0
2020-03-24,San Bernardino,California,6071.0,38,1,2180085,21.0
2020-03-25,San Bernardino,California,6071.0,54,2,2180085,16.0
2020-03-26,San Bernardino,California,6071.0,55,3,2180085,1.0
2020-03-27,San Bernardino,California,6071.0,64,3,2180085,9.0
2020-03-28,San Bernardino,California,6071.0,64,3,2180085,0.0
2020-03-29,San Bernardino,California,6071.0,111,3,2180085,47.0
2020-03-30,San Bernardino,California,6071.0,111,3,2180085,0.0
2020-03-31,San Bernardino,California,6071.0,183,6,2180085,72.0
2020-04-01,San Bernardino,California,6071.0,254,6,2180085,71.0
2020-04-02,San Bernardino,California,6071.0,304,8,2180085,50.0
2020-04-03,San Bernardino,California,6071.0,353,13,2180085,49.0
2020-04-04,San Bernardino,California,6071.0,353,13,2180085,0.0
2020-04-05,San Bernardino,California,6071.0,372,13,2180085,19.0
2020-04-06,San Bernardino,California,6071.0,530,16,2180085,158.0
2020-04-07,San Bernardino,California,6071.0,547,17,2180085,17.0
2020-04-08,San Bernardino,California,6071.0,641,20,2180085,94.0
2020-04-09,San Bernardino,California,6071.0,729,24,2180085,88.0
2020-04-10,San Bernardino,California,6071.0,810,25,2180085,81.0
2020-04-11,San Bernardino,California,6071.0,810,25,2180085,0.0
2020-04-12,San Bernardino,California,6071.0,887,31,2180085,77.0
2020-04-13,San Bernardino,California,6071.0,977,31,2180085,90.0
2020-04-14,San Bernardino,California,6071.0,977,31,2180085,0.0
2020-04-15,San Bernardino,California,6071.0,996,39,2180085,19.0
2020-04-16,San Bernardino,California,6071.0,1032,47,2180085,36.0
2020-04-17,San Bernardino,California,6071.0,1096,55,2180085,64.0
2020-04-18,San Bernardino,California,6071.0,1219,57,2180085,123.0
2020-04-19,San Bernardino,California,6071.0,1286,57,2180085,67.0
2020-04-20,San Bernardino,California,6071.0,1406,60,2180085,120.0
2020-04-21,San Bernardino,California,6071.0,1489,67,2180085,83.0
2020-04-22,San Bernardino,California,6071.0,1489,67,2180085,0.0
2020-04-23,San Bernardino,California,6071.0,1564,72,2180085,75.0
2020-04-24,San Bernardino,California,6071.0,1666,80,2180085,102.0
2020-04-25,San Bernardino,California,6071.0,1732,82,2180085,66.0
2020-04-26,San Bernardino,California,6071.0,1751,82,2180085,19.0
2020-04-27,San Bernardino,California,6071.0,1772,82,2180085,21.0
2020-04-28,San Bernardino,California,6071.0,1827,85,2180085,55.0
2020-04-29,San Bernardino,California,6071.0,1928,89,2180085,101.0
2020-04-30,San Bernardino,California,6071.0,2058,93,2180085,130.0
2020-05-01,San Bernardino,California,6071.0,2113,96,2180085,55.0
2020-05-02,San Bernardino,California,6071.0,2182,98,2180085,69.0
2020-05-03,San Bernardino,California,6071.0,2182,99,2180085,0.0
2020-05-04,San Bernardino,California,6071.0,2182,99,2180085,0.0
2020-05-05,San Bernardino,California,6071.0,2329,101,2180085,147.0
2020-05-06,San Bernardino,California,6071.0,2432,104,2180085,103.0
2020-05-07,San Bernardino,California,6071.0,2562,108,2180085,130.0
2020-05-08,San Bernardino,California,6071.0,2629,111,2180085,67.0
2020-05-09,San Bernardino,California,6071.0,2902,119,2180085,273.0
2020-05-10,San Bernardino,California,6071.0,2964,121,2180085,62.0
2020-05-11,San Bernardino,California,6071.0,3015,121,2180085,51.0
2020-05-12,San Bernardino,California,6071.0,3078,121,2180085,63.0
2020-05-13,San Bernardino,California,6071.0,3153,138,2180085,75.0
2020-05-14,San Bernardino,California,6071.0,3198,139,2180085,45.0
2020-05-15,San Bernardino,California,6071.0,3311,150,2180085,113.0
2020-05-16,San Bernardino,California,6071.0,3463,155,2180085,152.0
2020-05-17,San Bernardino,California,6071.0,3511,155,2180085,48.0
2020-05-18,San Bernardino,California,6071.0,3593,155,2180085,82.0
2020-05-19,San Bernardino,California,6071.0,3707,157,2180085,114.0
2020-05-20,San Bernardino,California,6071.0,3795,158,2180085,88.0
2020-05-21,San Bernardino,California,6071.0,3984,164,2180085,189.0
