date,county,state,fips,cases,deaths,population,new_cases
2020-02-24,Solano,California,6095.0,1,0,447643,1.0
2020-02-25,Solano,California,6095.0,1,0,447643,0.0
2020-02-26,Solano,California,6095.0,11,0,447643,10.0
2020-02-27,Solano,California,6095.0,11,0,447643,0.0
2020-02-28,Solano,California,6095.0,11,0,447643,0.0
2020-02-29,Solano,California,6095.0,11,0,447643,0.0
2020-03-01,Solano,California,6095.0,12,0,447643,1.0
2020-03-02,Solano,California,6095.0,12,0,447643,0.0
2020-03-03,Solano,California,6095.0,12,0,447643,0.0
2020-03-04,Solano,California,6095.0,12,0,447643,0.0
2020-03-05,Solano,California,6095.0,12,0,447643,0.0
2020-03-06,Solano,California,6095.0,12,0,447643,0.0
2020-03-07,Solano,California,6095.0,12,0,447643,0.0
2020-03-08,Solano,California,6095.0,12,0,447643,0.0
2020-03-09,Solano,California,6095.0,12,0,447643,0.0
2020-03-10,Solano,California,6095.0,12,0,447643,0.0
2020-03-11,Solano,California,6095.0,12,0,447643,0.0
2020-03-12,Solano,California,6095.0,12,0,447643,0.0
2020-03-13,Solano,California,6095.0,12,0,447643,0.0
2020-03-14,Solano,California,6095.0,12,0,447643,0.0
2020-03-15,Solano,California,6095.0,13,0,447643,1.0
2020-03-16,Solano,California,6095.0,15,0,447643,2.0
2020-03-17,Solano,California,6095.0,15,0,447643,0.0
2020-03-18,Solano,California,6095.0,15,0,447643,0.0
2020-03-19,Solano,California,6095.0,15,0,447643,0.0
2020-03-20,Solano,California,6095.0,18,0,447643,3.0
2020-03-21,Solano,California,6095.0,19,0,447643,1.0
2020-03-22,Solano,California,6095.0,19,0,447643,0.0
2020-03-23,Solano,California,6095.0,21,0,447643,2.0
2020-03-24,Solano,California,6095.0,29,0,447643,8.0
2020-03-25,Solano,California,6095.0,36,0,447643,7.0
2020-03-26,Solano,California,6095.0,39,0,447643,3.0
2020-03-27,Solano,California,6095.0,39,0,447643,0.0
2020-03-28,Solano,California,6095.0,39,0,447643,0.0
2020-03-29,Solano,California,6095.0,39,0,447643,0.0
2020-03-30,Solano,California,6095.0,48,0,447643,9.0
2020-03-31,Solano,California,6095.0,54,0,447643,6.0
2020-04-01,Solano,California,6095.0,54,0,447643,0.0
2020-04-02,Solano,California,6095.0,66,1,447643,12.0
2020-04-03,Solano,California,6095.0,78,1,447643,12.0
2020-04-04,Solano,California,6095.0,78,1,447643,0.0
2020-04-05,Solano,California,6095.0,78,1,447643,0.0
2020-04-06,Solano,California,6095.0,93,1,447643,15.0
2020-04-07,Solano,California,6095.0,104,2,447643,11.0
2020-04-08,Solano,California,6095.0,117,2,447643,13.0
2020-04-09,Solano,California,6095.0,120,2,447643,3.0
2020-04-10,Solano,California,6095.0,126,2,447643,6.0
2020-04-11,Solano,California,6095.0,126,2,447643,0.0
2020-04-12,Solano,California,6095.0,126,2,447643,0.0
2020-04-13,Solano,California,6095.0,140,2,447643,14.0
2020-04-14,Solano,California,6095.0,145,2,447643,5.0
2020-04-15,Solano,California,6095.0,146,2,447643,1.0
2020-04-16,Solano,California,6095.0,161,2,447643,15.0
2020-04-17,Solano,California,6095.0,174,2,447643,13.0
2020-04-18,Solano,California,6095.0,174,2,447643,0.0
2020-04-19,Solano,California,6095.0,174,2,447643,0.0
2020-04-20,Solano,California,6095.0,185,2,447643,11.0
2020-04-21,Solano,California,6095.0,186,3,447643,1.0
2020-04-22,Solano,California,6095.0,186,3,447643,0.0
2020-04-23,Solano,California,6095.0,195,4,447643,9.0
2020-04-24,Solano,California,6095.0,199,4,447643,4.0
2020-04-25,Solano,California,6095.0,204,4,447643,5.0
2020-04-26,Solano,California,6095.0,204,4,447643,0.0
2020-04-27,Solano,California,6095.0,231,4,447643,27.0
2020-04-28,Solano,California,6095.0,254,4,447643,23.0
2020-04-29,Solano,California,6095.0,254,5,447643,0.0
2020-04-30,Solano,California,6095.0,268,5,447643,14.0
2020-05-01,Solano,California,6095.0,271,5,447643,3.0
2020-05-02,Solano,California,6095.0,271,5,447643,0.0
2020-05-03,Solano,California,6095.0,271,5,447643,0.0
2020-05-04,Solano,California,6095.0,325,6,447643,54.0
2020-05-05,Solano,California,6095.0,330,6,447643,5.0
2020-05-06,Solano,California,6095.0,342,7,447643,12.0
2020-05-07,Solano,California,6095.0,347,7,447643,5.0
2020-05-08,Solano,California,6095.0,356,7,447643,9.0
2020-05-09,Solano,California,6095.0,356,7,447643,0.0
2020-05-10,Solano,California,6095.0,356,7,447643,0.0
2020-05-11,Solano,California,6095.0,384,10,447643,28.0
2020-05-12,Solano,California,6095.0,393,11,447643,9.0
2020-05-13,Solano,California,6095.0,402,12,447643,9.0
2020-05-14,Solano,California,6095.0,413,14,447643,11.0
2020-05-15,Solano,California,6095.0,415,16,447643,2.0
2020-05-16,Solano,California,6095.0,415,16,447643,0.0
2020-05-17,Solano,California,6095.0,415,16,447643,0.0
2020-05-18,Solano,California,6095.0,429,16,447643,14.0
2020-05-19,Solano,California,6095.0,435,16,447643,6.0
2020-05-20,Solano,California,6095.0,440,18,447643,5.0
2020-05-21,Solano,California,6095.0,454,19,447643,14.0
