date,county,state,fips,cases,deaths,new_cases
2020-03-11,Stanislaus,California,6099.0,2,0,2.0
2020-03-12,Stanislaus,California,6099.0,2,0,0.0
2020-03-13,Stanislaus,California,6099.0,2,0,0.0
2020-03-14,Stanislaus,California,6099.0,2,0,0.0
2020-03-15,Stanislaus,California,6099.0,2,0,0.0
2020-03-16,Stanislaus,California,6099.0,3,0,1.0
2020-03-17,Stanislaus,California,6099.0,4,0,1.0
2020-03-18,Stanislaus,California,6099.0,5,0,1.0
2020-03-19,Stanislaus,California,6099.0,5,0,0.0
2020-03-20,Stanislaus,California,6099.0,5,0,0.0
2020-03-21,Stanislaus,California,6099.0,5,0,0.0
2020-03-22,Stanislaus,California,6099.0,8,0,3.0
2020-03-23,Stanislaus,California,6099.0,10,0,2.0
2020-03-24,Stanislaus,California,6099.0,11,0,1.0
2020-03-25,Stanislaus,California,6099.0,12,0,1.0
2020-03-26,Stanislaus,California,6099.0,17,0,5.0
2020-03-27,Stanislaus,California,6099.0,23,0,6.0
2020-03-28,Stanislaus,California,6099.0,29,0,6.0
2020-03-29,Stanislaus,California,6099.0,31,0,2.0
2020-03-30,Stanislaus,California,6099.0,33,0,2.0
2020-03-31,Stanislaus,California,6099.0,39,0,6.0
2020-04-01,Stanislaus,California,6099.0,44,0,5.0
2020-04-02,Stanislaus,California,6099.0,50,0,6.0
2020-04-03,Stanislaus,California,6099.0,58,0,8.0
2020-04-04,Stanislaus,California,6099.0,65,0,7.0
2020-04-05,Stanislaus,California,6099.0,71,0,6.0
2020-04-06,Stanislaus,California,6099.0,81,0,10.0
2020-04-07,Stanislaus,California,6099.0,90,0,9.0
2020-04-08,Stanislaus,California,6099.0,95,0,5.0
2020-04-09,Stanislaus,California,6099.0,103,0,8.0
2020-04-10,Stanislaus,California,6099.0,116,1,13.0
2020-04-11,Stanislaus,California,6099.0,121,2,5.0
2020-04-12,Stanislaus,California,6099.0,131,2,10.0
2020-04-13,Stanislaus,California,6099.0,146,2,15.0
2020-04-14,Stanislaus,California,6099.0,163,4,17.0
2020-04-15,Stanislaus,California,6099.0,177,4,14.0
2020-04-16,Stanislaus,California,6099.0,187,4,10.0
2020-04-17,Stanislaus,California,6099.0,206,4,19.0
2020-04-18,Stanislaus,California,6099.0,221,4,15.0
2020-04-19,Stanislaus,California,6099.0,226,4,5.0
2020-04-20,Stanislaus,California,6099.0,226,4,0.0
2020-04-21,Stanislaus,California,6099.0,236,4,10.0
2020-04-22,Stanislaus,California,6099.0,251,5,15.0
2020-04-23,Stanislaus,California,6099.0,258,5,7.0
2020-04-24,Stanislaus,California,6099.0,264,5,6.0
2020-04-25,Stanislaus,California,6099.0,286,5,22.0
2020-04-26,Stanislaus,California,6099.0,294,5,8.0
2020-04-27,Stanislaus,California,6099.0,312,7,18.0
2020-04-28,Stanislaus,California,6099.0,324,10,12.0
2020-04-29,Stanislaus,California,6099.0,339,11,15.0
2020-04-30,Stanislaus,California,6099.0,374,13,35.0
2020-05-01,Stanislaus,California,6099.0,380,13,6.0
2020-05-02,Stanislaus,California,6099.0,400,14,20.0
2020-05-03,Stanislaus,California,6099.0,411,14,11.0
2020-05-04,Stanislaus,California,6099.0,428,15,17.0
2020-05-05,Stanislaus,California,6099.0,428,15,0.0
2020-05-06,Stanislaus,California,6099.0,461,17,33.0
2020-05-07,Stanislaus,California,6099.0,461,17,0.0
2020-05-08,Stanislaus,California,6099.0,488,19,27.0
2020-05-09,Stanislaus,California,6099.0,488,19,0.0
2020-05-10,Stanislaus,California,6099.0,501,21,13.0
2020-05-11,Stanislaus,California,6099.0,501,21,0.0
