date,county,state,fips,cases,deaths,population,new_cases
2020-05-10,Trinity,California,6105.0,1,0,12285,1.0
2020-05-11,Trinity,California,6105.0,1,0,12285,0.0
2020-05-12,Trinity,California,6105.0,2,0,12285,1.0
2020-05-13,Trinity,California,6105.0,2,0,12285,0.0
2020-05-14,Trinity,California,6105.0,2,0,12285,0.0
2020-05-15,Trinity,California,6105.0,2,0,12285,0.0
2020-05-16,Trinity,California,6105.0,2,0,12285,0.0
2020-05-17,Trinity,California,6105.0,2,0,12285,0.0
2020-05-18,Trinity,California,6105.0,2,0,12285,0.0
2020-05-19,Trinity,California,6105.0,2,0,12285,0.0
2020-05-20,Trinity,California,6105.0,2,0,12285,0.0
2020-05-21,Trinity,California,6105.0,2,0,12285,0.0
