date,county,state,fips,cases,deaths,new_cases
2020-03-22,Unknown,California,,1,0,1.0
2020-03-23,Unknown,California,,1,0,0.0
2020-03-24,Unknown,California,,1,0,0.0
2020-03-25,Unknown,California,,1,0,0.0
2020-03-26,Unknown,California,,1,0,0.0
2020-03-27,Unknown,California,,1,0,0.0
2020-03-28,Unknown,California,,1,0,0.0
2020-03-29,Unknown,California,,1,0,0.0
2020-03-30,Unknown,California,,1,0,0.0
2020-03-31,Unknown,California,,1,0,0.0
2020-04-01,Unknown,California,,1,0,0.0
2020-04-02,Unknown,California,,0,1,-1.0
2020-04-23,Unknown,California,,3,0,3.0
2020-04-27,Unknown,California,,3,0,0.0
2020-05-07,Unknown,California,,2,0,-1.0
2020-05-08,Unknown,California,,2,0,0.0
2020-05-09,Unknown,California,,2,0,0.0
